"GEO_ID","NAME","B01001C_001E","B01001C_001M","B01001C_002E","B01001C_002M","B01001C_003E","B01001C_003M","B01001C_004E","B01001C_004M","B01001C_005E","B01001C_005M","B01001C_006E","B01001C_006M","B01001C_007E","B01001C_007M","B01001C_008E","B01001C_008M","B01001C_009E","B01001C_009M","B01001C_010E","B01001C_010M","B01001C_011E","B01001C_011M","B01001C_012E","B01001C_012M","B01001C_013E","B01001C_013M","B01001C_014E","B01001C_014M","B01001C_015E","B01001C_015M","B01001C_016E","B01001C_016M","B01001C_017E","B01001C_017M","B01001C_018E","B01001C_018M","B01001C_019E","B01001C_019M","B01001C_020E","B01001C_020M","B01001C_021E","B01001C_021M","B01001C_022E","B01001C_022M","B01001C_023E","B01001C_023M","B01001C_024E","B01001C_024M","B01001C_025E","B01001C_025M","B01001C_026E","B01001C_026M","B01001C_027E","B01001C_027M","B01001C_028E","B01001C_028M","B01001C_029E","B01001C_029M","B01001C_030E","B01001C_030M","B01001C_031E","B01001C_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","2480465","14260","1230390","8470","99603","1865","99682","1945","105527","1935","69961","1650","48980","1348","105284","1922","92287","1928","82423","2030","174308","2456","166074","2191","109910","1692","51015","1067","20434","649","4902","411","1250075","7435","97681","1895","98052","2335","99980","2066","66281","1450","45017","1390","98647","2031","88740","1717","83028","1691","176977","2352","180179","2168","118367","1763","58907","1254","28547","775","9672","590",
"0400000US01","Alabama","25814","1316","13000","737","913","244","879","167","1330","216","683","140","444","156","919","239","860","199","843","210","1908","288","1920","274","1503","235","607","152","158","66","33","24","12814","849","675","226","1019","201","932","170","514","130","457","176","925","231","743","174","804","174","1949","290","2503","250","1420","221","500","133","283","88","90","51",
"0400000US02","Alaska","98120","1826","49319","1071","4572","299","4557","310","4397","302","3150","192","2217","214","4776","383","3278","257","2920","232","6103","380","6122","249","4378","218","1897","154","844","104","108","31","48801","1028","4327","250","4273","317","4107","315","2926","207","2006","219","4185","244","3177","215","2824","219","6390","290","6348","273","4321","234","2406","133","1192","119","319","85",
"0400000US04","Arizona","278336","2582","135650","1637","12837","526","12044","778","13471","668","9160","314","5841","336","12938","560","10408","479","8974","402","17487","542","15326","476","9457","266","4856","194","2306","187","545","124","142686","1514","13223","547","12619","615","12268","655","8643","319","5729","268","12446","413","10502","302","9374","247","18595","434","17868","359","10979","321","6137","257","3140","184","1163","154",
"0400000US05","Arkansas","19192","1008","9149","629","573","124","931","172","651","148","536","128","337","150","895","237","623","174","479","122","1287","274","1459","214","905","145","308","85","140","64","25","21","10043","676","542","145","814","143","753","170","410","124","547","167","722","180","639","158","950","204","1188","182","1488","204","1141","191","429","120","322","90","98","45",
"0400000US06","California","283628","5859","140830","3529","9588","842","9265","809","10934","762","6485","598","5273","530","11708","819","10610","771","9101","596","22253","1123","21306","853","14518","670","6365","422","2855","266","569","117","142798","3295","9362","729","9314","748","10606","788","7512","646","3858","389","10898","647","10659","764","9209","716","20842","982","23625","992","15138","715","7231","503","3663","415","881","156",
"0400000US08","Colorado","47022","1910","24182","1138","1513","270","1965","326","1593","298","1566","249","1073","240","2064","273","1931","303","1964","267","3652","406","3287","329","2384","300","837","143","283","112","70","46","22840","1170","1133","221","1629","260","1621","270","889","203","922","250","1448","280","2063","342","1906","266","3986","333","3500","381","2320","276","800","161","517","120","106","57",
"0400000US09","Connecticut","7959","782","4313","517","165","108","302","130","341","150","121","64","153","84","464","208","428","147","476","176","713","190","402","119","393","96","245","86","79","46","31","22","3646","454","322","129","261","99","323","141","111","82","61","50","240","115","323","117","217","94","633","163","378","99","422","98","120","58","129","56","106","60",
"0400000US10","Delaware","3076","449","1710","297","98","72","96","80","154","96","88","58","24","30","280","136","51","47","85","65","206","108","297","82","135","55","164","91","32","31","0","119","1366","231","36","24","47","41","96","67","51","56","77","72","55","40","87","52","163","99","208","91","217","76","130","58","118","59","54","36","27","38",
"0400000US11","District of Columbia","1625","229","647","184","37","46","16","25","0","132","54","65","60","62","0","132","113","84","53","46","22","34","196","108","64","48","32","31","0","132","0","132","978","189","95","86","34","46","0","132","0","132","50","47","23","36","121","70","122","68","172","77","66","27","93","51","110","81","49","62","43","51",
"0400000US12","Florida","54570","2047","27750","1446","1745","314","1341","291","1713","353","1260","307","918","204","2056","386","2171","427","1815","416","4813","514","4952","457","2923","270","1412","222","567","178","64","49","26820","1109","1670","368","1827","381","1690","317","1273","243","822","207","1389","253","1887","386","1803","376","4278","443","4760","415","3247","297","1300","211","698","178","176","124",
"0400000US13","Georgia","23234","1424","12348","872","686","173","849","196","698","228","469","134","526","160","1089","284","928","283","942","272","1915","332","2059","322","1423","205","446","147","298","104","20","30","10886","813","846","234","568","203","498","150","432","152","349","122","1019","237","559","172","706","176","1849","276","2047","360","1308","209","486","142","181","77","38","39",
"0400000US15","Hawaii","3506","421","1800","275","12","18","23","20","74","53","70","55","59","55","226","96","178","87","119","66","252","88","366","145","261","75","99","66","61","45","0","123","1706","315","13","15","81","61","133","79","117","66","86","80","152","90","64","41","24","29","371","133","248","95","253","132","145","84","9","13","10","12",
"0400000US16","Idaho","18951","1083","9102","639","703","152","856","200","791","191","565","141","319","110","800","189","468","133","655","154","1432","216","890","182","928","151","499","123","170","71","26","33","9849","660","642","152","806","209","1124","214","513","174","226","93","713","163","689","182","636","137","1465","247","1316","184","948","167","524","145","211","80","36","32",
"0400000US17","Illinois","24729","1607","12193","887","815","192","893","167","873","219","489","146","442","150","886","200","920","233","931","216","1838","288","2036","245","1433","232","418","106","182","76","37","29","12536","898","740","196","832","204","614","174","597","142","548","176","810","201","974","210","810","167","1942","269","2297","336","1392","189","671","128","246","78","63","59",
"0400000US18","Indiana","14487","846","7473","637","344","125","494","139","371","140","348","112","283","113","517","125","658","151","637","175","1383","184","1268","223","773","157","282","98","102","58","13","19","7014","504","441","141","300","100","295","96","324","122","203","81","542","168","367","107","504","146","1021","189","1598","229","882","184","364","106","118","48","55","37",
"0400000US19","Iowa","9825","699","4936","478","529","164","342","106","551","144","146","57","204","83","315","122","368","114","594","157","607","169","632","139","455","106","132","50","53","36","8","14","4889","398","335","97","517","129","393","119","281","104","178","87","426","112","405","117","335","106","697","154","657","166","374","107","186","77","80","42","25","24",
"0400000US20","Kansas","24422","1074","12534","669","877","199","1115","223","1218","231","850","214","548","114","1241","211","638","130","997","168","1769","199","1604","210","994","143","434","104","172","80","77","39","11888","703","1046","200","904","183","933","136","527","123","547","150","1221","247","733","161","778","176","1525","192","1715","189","1251","188","398","83","234","78","76","34",
"0400000US21","Kentucky","8794","760","4545","488","96","84","253","126","316","133","224","81","171","107","401","115","548","170","265","96","695","172","682","166","426","116","272","90","145","73","51","35","4249","494","179","78","257","101","227","114","126","67","231","116","100","56","330","125","277","92","843","209","685","140","583","149","288","100","75","46","48","46",
