"GEO_ID","NAME","B01001D_001E","B01001D_001M","B01001D_002E","B01001D_002M","B01001D_003E","B01001D_003M","B01001D_004E","B01001D_004M","B01001D_005E","B01001D_005M","B01001D_006E","B01001D_006M","B01001D_007E","B01001D_007M","B01001D_008E","B01001D_008M","B01001D_009E","B01001D_009M","B01001D_010E","B01001D_010M","B01001D_011E","B01001D_011M","B01001D_012E","B01001D_012M","B01001D_013E","B01001D_013M","B01001D_014E","B01001D_014M","B01001D_015E","B01001D_015M","B01001D_016E","B01001D_016M","B01001D_017E","B01001D_017M","B01001D_018E","B01001D_018M","B01001D_019E","B01001D_019M","B01001D_020E","B01001D_020M","B01001D_021E","B01001D_021M","B01001D_022E","B01001D_022M","B01001D_023E","B01001D_023M","B01001D_024E","B01001D_024M","B01001D_025E","B01001D_025M","B01001D_026E","B01001D_026M","B01001D_027E","B01001D_027M","B01001D_028E","B01001D_028M","B01001D_029E","B01001D_029M","B01001D_030E","B01001D_030M","B01001D_031E","B01001D_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","14859795","19046","7055679","11651","452981","3170","459266","4430","443360","4443","275337","2132","210428","1901","567586","3247","598384","2635","593043","2389","1169948","2863","964155","2552","702003","1921","388129","1306","177900","1490","53159","1414","7804116","10007","437961","2638","461008","3691","440578","3959","264111","1954","198902","1962","557584","3162","659553","2054","678398","2110","1324179","2659","1107422","2319","859326","1750","467154","1644","255856","2004","92084","1845",
"0400000US01","Alabama","54923","1010","25703","736","1836","172","2040","235","2010","300","1147","204","1235","324","2051","261","2349","275","2275","259","4779","280","2805","214","1821","131","984","162","290","92","81","51","29220","525","1761","183","2452","251","1630","253","924","173","540","166","2348","230","2683","207","2998","239","5157","312","3677","281","2948","222","1445","162","615","143","42","32",
"0400000US02","Alaska","37968","983","17992","638","1056","181","1321","174","1254","217","841","133","710","155","1343","182","1339","184","1216","159","2936","218","2670","255","2050","165","871","136","266","67","119","72","19976","589","865","140","1208","230","1348","214","954","102","494","109","1424","152","1327","183","1229","162","3384","184","3190","198","2565","201","1261","94","579","80","148","72",
"0400000US04","Arizona","177598","1739","82917","1103","5673","468","5543","506","5339","519","2981","244","2330","201","7423","401","7522","343","8182","358","14893","400","10568","321","6633","211","3841","191","1616","150","373","110","94681","1004","5133","367","5505","472","5433","490","3059","209","2146","192","6009","350","8506","390","8756","267","17860","304","12871","346","10333","292","5595","180","3005","197","470","146",
"0400000US05","Arkansas","35744","856","16648","504","1460","235","1282","241","912","183","740","163","752","206","1549","284","1502","218","1660","208","2716","216","1914","172","1400","183","592","124","125","63","44","39","19096","590","1227","227","1525","268","1220","251","565","141","680","192","1656","254","2094","187","1725","211","3200","243","2390","226","1717","163","713","125","366","132","18","29",
"0400000US06","California","4921543","8660","2329763","4879","133912","1555","140354","2170","142144","2051","93263","1026","66869","780","179064","1298","185122","1127","178074","941","367964","1291","337415","999","258930","847","144659","579","77761","911","24232","905","2591780","5249","129015","1465","133864","2150","136169","2040","87959","849","63721","575","175199","1143","197000","1175","203532","826","423904","1218","393540","1062","316220","888","178923","717","110245","1127","42489","1073",
"0400000US08","Colorado","136882","1982","61705","1249","4183","361","4227","361","4106","378","2049","232","1410","253","5288","360","5567","352","5890","255","10921","333","8354","258","5327","194","2744","135","1190","153","449","124","75177","1121","4403","352","5232","469","4543","417","2345","220","1662","192","5106","315","6696","289","6572","307","13516","370","10608","294","7648","227","3846","128","2411","200","589","142",
"0400000US09","Connecticut","138355","1179","66879","802","5462","200","4802","378","4542","350","2474","158","1914","170","4888","201","6255","164","6539","237","12427","235","8564","195","5194","194","2684","156","1061","107","73","62","71476","700","5303","239","5114","385","4957","324","2516","153","1928","201","4727","211","6757","177","7322","193","13619","212","8876","194","5907","142","2843","139","1366","107","241","88",
"0400000US10","Delaware","29177","554","13982","294","1092","137","1112","174","700","140","525","57","389","78","1053","87","1200","117","1517","89","2449","138","1736","97","1087","52","804","65","216","66","102","51","15195","351","1035","119","1084","159","772","130","525","33","425","64","1057","108","1516","86","1525","75","2575","114","1859","93","1503","51","904","24","323","62","92","61",
