"GEO_ID","NAME","B01001B_001E","B01001B_001M","B01001B_002E","B01001B_002M","B01001B_003E","B01001B_003M","B01001B_004E","B01001B_004M","B01001B_005E","B01001B_005M","B01001B_006E","B01001B_006M","B01001B_007E","B01001B_007M","B01001B_008E","B01001B_008M","B01001B_009E","B01001B_009M","B01001B_010E","B01001B_010M","B01001B_011E","B01001B_011M","B01001B_012E","B01001B_012M","B01001B_013E","B01001B_013M","B01001B_014E","B01001B_014M","B01001B_015E","B01001B_015M","B01001B_016E","B01001B_016M","B01001B_017E","B01001B_017M","B01001B_018E","B01001B_018M","B01001B_019E","B01001B_019M","B01001B_020E","B01001B_020M","B01001B_021E","B01001B_021M","B01001B_022E","B01001B_022M","B01001B_023E","B01001B_023M","B01001B_024E","B01001B_024M","B01001B_025E","B01001B_025M","B01001B_026E","B01001B_026M","B01001B_027E","B01001B_027M","B01001B_028E","B01001B_028M","B01001B_029E","B01001B_029M","B01001B_030E","B01001B_030M","B01001B_031E","B01001B_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","37978752","20352","18076960","11320","1437721","3899","1456627","7755","1569181","7210","1050947","2600","702355","3123","1485574","4471","1292210","3928","1176822","3406","2528835","4128","2492729","3499","1610105","2383","806670","1622","368501","2058","98683","1696","19901792","13132","1386670","4199","1416211","7266","1510536","7058","1007962","2760","686049","3436","1510650","3214","1426512","3154","1331801","3171","2855024","3598","2829583","2608","1942973","2516","1099349","1902","633157","3583","265315","3237",
"0400000US01","Alabama","1232325","2491","572725","1480","45315","492","45895","1233","51657","1266","33986","317","23224","458","47448","656","40074","461","35798","447","73167","541","78649","470","54738","292","26974","302","12331","400","3469","295","659600","1500","44080","555","47061","1145","48906","1142","31728","307","23777","543","52967","581","47674","433","44306","436","88706","472","94244","452","65751","183","37024","229","23019","527","10357","524",
"0400000US02","Alaska","22655","772","12630","611","633","154","903","192","867","193","565","131","370","150","1602","260","1243","143","1032","127","1907","208","2054","274","1021","101","298","55","111","66","24","36","10025","420","754","138","778","183","756","184","517","116","543","102","884","81","758","148","705","112","1351","163","1468","125","920","82","321","33","216","58","54","49",
"0400000US04","Arizona","240655","1940","126853","1144","11055","499","10326","637","10003","629","6641","313","4742","296","11072","457","10570","323","9669","340","19152","307","16788","195","9993","195","4622","163","1678","171","542","139","113802","1298","9956","524","9142","698","9385","599","5964","315","4092","321","9027","273","9175","349","7919","269","16242","344","14890","285","9410","189","5051","166","2436","225","1113","175",
"0400000US05","Arkansas","445197","1336","210831","1036","18099","469","19078","811","19611","814","12010","356","8812","511","18081","584","14783","383","13388","378","26338","453","27572","350","18810","229","8967","265","3953","253","1329","194","234366","955","17915","445","19137","834","18308","823","11956","392","8977","424","17946","438","17714","348","15658","354","30405","402","32564","400","21505","193","11148","155","6997","308","4136","330",
"0400000US06","California","2246311","6348","1107362","3854","72479","1121","77913","2055","86628","1898","61859","757","40160","600","90366","1044","78932","996","73119","769","164009","1112","167114","1007","105990","553","56179","413","25386","615","7228","505","1138949","3720","69967","1049","74434","1819","83619","1751","58635","786","38099","671","83514","939","78572","860","71816","826","165438","914","172508","824","117752","681","69261","454","38539","775","16795","676",
"0400000US08","Colorado","190598","2125","100324","1309","7418","491","7706","494","7207","554","5493","339","3436","327","7758","395","7544","328","7382","343","16256","552","15599","447","8744","259","3656","127","1832","150","293","108","90274","1376","6974","471","7519","535","6623","511","4577","268","3133","261","6767","374","6875","357","6013","273","13067","365","13196","238","7890","220","4443","157","2200","175","997","182",
"0400000US09","Connecticut","342764","2495","162932","1509","12048","472","13509","593","14180","724","9673","318","6604","249","13276","414","11497","291","11018","289","24619","336","22114","342","13387","225","7275","165","3038","166","694","158","179832","1410","11443","424","12393","701","14131","668","9388","344","6010","246","13474","297","12443","324","12214","318","27839","415","25677","340","17183","227","10316","187","5506","296","1815","237",
"0400000US10","Delaware","185253","1144","87480","666","6822","268","7204","584","7888","522","5234","142","3546","93","7104","217","5861","158","5419","173","12570","149","11942","158","7624","122","4086","41","1710","111","470","112","97773","765","6993","318","7246","426","7459","519","4987","126","3502","118","7205","161","6399","148","6481","113","14755","184","14265","116","9544","140","5172","54","2704","183","1061","176",
