,S0101_C01_005E,S0101_C02_005E,S0101_C03_005E,,S0101_C01_005E,S0101_C02_005E,S0101_C03_005E,,S0101_C01_005E,S0101_C02_005E,S0101_C03_005E,,S0101_C01_005E,S0101_C02_005E,S0101_C03_005E,,S0101_C01_005E,S0101_C02_005E,S0101_C03_005E,,S0101_C01_005E,S0101_C02_005E,S0101_C03_005E,,S0101_C01_005E,S0101_C02_005E,S0101_C03_005E,,S0101_C01_005E,S0101_C03_005E,S0101_C05_005E,,S0101_C01_005E,S0101_C03_005E,S0101_C05_005E,,S0101_C01_005E,S0101_C03_005E,S0101_C05_005E,,S0101_C01_005E,S0101_C03_005E,S0101_C05_005E,,S0101_C01_005E,S0101_C03_005E,S0101_C05_005E,,S0101_C01_005E,S0101_C03_005E,S0101_C05_005E
2010,Total!!Estimate!!AGE!!15 to 19 years,Male!!Estimate!!AGE!!15 to 19 years,Female!!Estimate!!AGE!!15 to 19 years,2011,Total!!Estimate!!AGE!!15 to 19 years,Male!!Estimate!!AGE!!15 to 19 years,Female!!Estimate!!AGE!!15 to 19 years,2012,Total!!Estimate!!AGE!!15 to 19 years,Male!!Estimate!!AGE!!15 to 19 years,Female!!Estimate!!AGE!!15 to 19 years,2013,Total!!Estimate!!AGE!!15 to 19 years,Male!!Estimate!!AGE!!15 to 19 years,Female!!Estimate!!AGE!!15 to 19 years,2014,Total!!Estimate!!AGE!!15 to 19 years,Male!!Estimate!!AGE!!15 to 19 years,Female!!Estimate!!AGE!!15 to 19 years,2015,Total!!Estimate!!AGE!!15 to 19 years,Male!!Estimate!!AGE!!15 to 19 years,Female!!Estimate!!AGE!!15 to 19 years,2016,Total!!Estimate!!AGE!!15 to 19 years,Male!!Estimate!!AGE!!15 to 19 years,Female!!Estimate!!AGE!!15 to 19 years,2017,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Male!!Total population!!AGE!!15 to 19 years,Estimate!!Female!!Total population!!AGE!!15 to 19 years,,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Male!!Total population!!AGE!!15 to 19 years,Estimate!!Female!!Total population!!AGE!!15 to 19 years,2019,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Male!!Total population!!AGE!!15 to 19 years,Estimate!!Female!!Total population!!AGE!!15 to 19 years,2020,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Male!!Total population!!AGE!!15 to 19 years,Estimate!!Female!!Total population!!AGE!!15 to 19 years,2021,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Male!!Total population!!AGE!!15 to 19 years,Estimate!!Female!!Total population!!AGE!!15 to 19 years,,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Male!!Total population!!AGE!!15 to 19 years,Estimate!!Female!!Total population!!AGE!!15 to 19 years
,7.3,7.6,7,,7.2,7.5,6.9,,7.1,7.4,6.8,,7,7.3,6.7,,6.8,7.1,6.6,,6.7,7,6.5,,6.7,6.9,6.4,,21219050,10859638,10359412,2018,21204226,10846571,10357655,,21208186,10840204,10367982,,21174955,10816797,10358158,,21654363,11076327,10578036,2022,21880801,11196816,10683985
,7.3,7.7,6.9,,7.2,7.6,6.8,,7.1,7.5,6.7,,6.9,7.3,6.6,,6.8,7.2,6.5,,6.7,7.1,6.4,,6.7,7.1,6.4,,324606,164067,160539,,323914,163800,160114,,322486,163237,159249,,321308,162291,159017,,329732,167335,162397,,341537,172017,169520
,7.9,7.8,7.9,,7.6,7.7,7.6,,7.3,7.4,7.2,,7.2,7.3,7,,7,7.1,6.9,,6.9,7,6.7,,6.7,6.8,6.5,,48153,25543,22610,,47451,25161,22290,,46704,24946,21758,,46257,24513,21744,,47081,24855,22226,,47306,25075,22231
,7.2,7.5,7,,7.2,7.5,6.9,,7.1,7.4,6.8,,7,7.3,6.8,,6.9,7.2,6.7,,6.9,7.1,6.6,,6.8,7,6.6,,462339,236550,225789,,468197,238847,229350,,473352,241518,231834,,478165,243721,234444,,476470,243259,233211,,480835,246475,234360
,7.2,7.5,6.8,,7.1,7.4,6.7,,7,7.3,6.7,,6.9,7.2,6.6,,6.8,7.1,6.5,,6.7,7,6.4,,6.8,7,6.5,,200553,102714,97839,,201068,103084,97984,,201105,103079,98026,,200952,102200,98752,,203530,104194,99336,,205927,105566,100361
,7.7,7.9,7.4,,7.6,7.9,7.3,,7.5,7.7,7.2,,7.3,7.6,7,,7.1,7.4,6.9,,6.9,7.2,6.7,,6.8,7,6.6,,2609110,1334363,1274747,,2583578,1320593,1262985,,2565170,1309797,1255373,,2548072,1300581,1247491,,2588625,1322583,1266042,,2599130,1329182,1269948
,7,7.2,6.7,,6.9,7.1,6.6,,6.8,7,6.5,,6.7,6.9,6.5,,6.6,6.8,6.4,,6.5,6.7,6.3,,6.4,6.6,6.3,,348183,179503,168680,,354630,182800,171830,,358555,184956,173599,,362041,187068,174973,,369984,191421,178563,,376404,195327,181077
,7.1,7.5,6.7,,7.1,7.5,6.7,,7.1,7.5,6.8,,7.1,7.5,6.8,,7.1,7.5,6.8,,7.1,7.4,6.8,,7,7.4,6.7,,249777,127738,122039,,247182,126342,120840,,244249,124650,119599,,241286,123304,117982,,245790,125338,120452,,247501,125705,121796
,7.3,7.6,6.9,,7.2,7.6,6.8,,7.1,7.4,6.8,,6.9,7.2,6.6,,6.7,7,6.4,,6.5,6.8,6.3,,6.5,6.8,6.2,,60135,30478,29657,,59798,30300,29498,,59894,30190,29704,,60143,30165,29978,,61884,31028,30856,,62986,31489,31497
,7.5,7.5,7.4,,7.1,6.9,7.3,,6.9,6.8,7,,6.5,6.5,6.6,,6.1,6.1,6.2,,5.9,5.9,6,,5.8,5.7,5.8,,37168,17624,19544,,37417,17645,19772,,37440,17548,19892,,36863,17013,19850,,36641,17183,19458,,32279,15483,16796
,6.7,7,6.3,,6.6,6.9,6.2,,6.4,6.8,6.1,,6.3,6.6,6,,6.2,6.5,5.8,,6,6.4,5.7,,5.9,6.3,5.7,,1194267,614704,579563,,1201106,617521,583585,,1206046,618333,587713,,1209024,619298,589726,,1227017,628657,598360,,1258973,644769,614204
,7.5,7.9,7.2,,7.4,7.8,7.1,,7.3,7.7,7,,7.3,7.6,6.9,,7.2,7.5,6.8,,7.1,7.4,6.7,,7,7.4,6.7,,715326,365478,349848,,721206,367211,353995,,728645,369798,358847,,735465,373880,361585,,752682,381707,370975,,757557,385448,372109
,6.5,6.7,6.2,,6.4,6.6,6.2,,6.2,6.5,6,,6.1,6.2,5.9,,5.9,6,5.8,,5.7,5.9,5.6,,5.7,5.8,5.5,,78077,40386,37691,,77674,40023,37651,,77712,40051,37661,,76036,39149,36887,,79517,41323,38194,,78904,41331,37573
,7.6,7.7,7.4,,7.5,7.6,7.3,,7.3,7.5,7.1,,7.2,7.4,7.1,,7.1,7.3,7,,7.1,7.2,6.9,,7.1,7.2,7,,117877,60533,57344,,120633,61988,58645,,121785,62279,59506,,124202,63577,60625,,130056,66725,63331,,142387,70777,71610
,7.3,7.7,7,,7.2,7.6,6.9,,7.2,7.5,6.8,,7.1,7.4,6.7,,6.9,7.3,6.6,,6.8,7.1,6.5,,6.7,7,6.5,,855867,437699,418168,,847578,432224,415354,,837707,428211,409496,,831088,424571,406517,,850104,434936,415168,,849119,435034,414085
,7.4,7.7,7.1,,7.4,7.7,7.1,,7.3,7.6,7,,7.2,7.5,6.9,,7.1,7.4,6.8,,7,7.3,6.7,,7,7.2,6.7,,458738,234495,224243,,458348,234266,224082,,460179,234924,225255,,458933,235099,223834,,471419,241810,229609,,473778,244081,229697
,7.3,7.5,7,,7.3,7.6,7,,7.1,7.4,6.9,,7.1,7.3,6.8,,7,7.2,6.8,,6.9,7.2,6.7,,6.9,7.2,6.7,,215037,110755,104282,,214740,110067,104673,,213547,109415,104132,,212565,109016,103549,,219617,112674,106943,,223107,114461,108646
,7.4,7.7,7,,7.2,7.5,7,,7.1,7.4,6.9,,7.1,7.3,6.8,,7,7.3,6.8,,7,7.2,6.8,,7,7.2,6.7,,200120,102978,97142,,200544,103249,97295,,201044,103016,98028,,199839,102620,97219,,206145,106094,100051,,210347,108476,101871
,7,7.3,6.7,,6.9,7.3,6.6,,6.8,7.1,6.5,,6.7,7,6.4,,6.6,6.9,6.3,,6.5,6.8,6.3,,6.5,6.8,6.3,,288717,147466,141251,,290396,148320,142076,,290236,148601,141635,,289726,148480,141246,,296028,152382,143646,,293810,151698,142112
,7.4,7.7,7.2,,7.3,7.6,7,,7.1,7.4,6.8,,6.9,7.2,6.6,,6.7,7,6.5,,6.6,6.9,6.3,,6.6,6.9,6.3,,303450,156492,146958,,301500,155164,146336,,300322,154172,146150,,297473,152370,145103,,301053,155146,145907,,305919,157371,148548
,6.9,7.3,6.6,,6.8,7.1,6.4,,6.7,7,6.3,,6.5,6.9,6.2,,6.4,6.7,6.1,,6.3,6.6,6,,6.2,6.5,5.9,,81002,41377,39625,,79747,40637,39110,,79136,40584,38552,,78076,39985,38091,,79853,41007,38846,,79387,40717,38670
,7.2,7.7,6.8,,7.1,7.6,6.7,,7,7.4,6.6,,6.9,7.3,6.5,,6.7,7.1,6.4,,6.6,7,6.3,,6.5,6.9,6.2,,387809,197518,190291,,384501,195982,188519,,384327,195710,188617,,381735,194226,187509,,394588,200963,193625,,394945,200616,194329
,7.2,7.6,6.9,,7.2,7.5,6.9,,7.1,7.4,6.8,,7,7.3,6.7,,7,7.3,6.7,,6.9,7.2,6.6,,6.8,7.1,6.6,,459799,231479,228320,,459381,231449,227932,,456858,229605,227253,,453990,227659,226331,,466649,234217,232432,,460722,232190,228532
,7.6,8,7.3,,7.5,7.9,7.2,,7.4,7.8,7.1,,7.3,7.6,7,,7.1,7.4,6.8,,7,7.3,6.7,,6.9,7.2,6.6,,674265,344745,329520,,669114,342277,326837,,661499,338148,323351,,653867,334624,319243,,662727,339252,323475,,661290,338291,322999
,7.2,7.4,6.9,,7.1,7.3,6.8,,7,7.2,6.7,,6.9,7.1,6.6,,6.7,6.9,6.5,,6.7,6.8,6.5,,6.6,6.7,6.4,,356614,182092,174522,,356498,182353,174145,,357513,183033,174480,,358262,182737,175525,,369931,189441,180490,,374118,191904,182214
,7.7,8.1,7.4,,7.6,7.9,7.3,,7.5,7.8,7.2,,7.3,7.6,7.1,,7.2,7.5,6.9,,7.1,7.4,6.9,,7.1,7.5,6.8,,212377,107662,104715,,212886,108558,104328,,210683,107569,103114,,208127,105195,102932,,210730,107475,103255,,213192,107360,105832
,7.3,7.6,6.9,,7.2,7.5,6.9,,7,7.4,6.7,,6.9,7.2,6.6,,6.8,7.1,6.5,,6.7,7,6.4,,6.6,6.9,6.3,,398602,204487,194115,,396819,204702,192117,,395905,203721,192184,,396255,203346,192909,,401712,206518,195194,,406068,208410,197658
,7.1,7.3,7,,7,7.1,6.9,,6.8,7,6.5,,6.6,6.9,6.4,,6.5,6.8,6.2,,6.4,6.7,6.1,,6.3,6.6,6,,64393,33495,30898,,64452,33464,30988,,64942,33851,31091,,64483,33710,30773,,66874,35082,31792,,68173,35750,32423
,7.2,7.5,7,,7.2,7.4,7,,7.1,7.3,6.9,,7,7.2,6.8,,6.9,7.1,6.7,,6.9,7.1,6.7,,6.8,7,6.6,,129066,66296,62770,,129350,66749,62601,,130202,66870,63332,,131348,67506,63842,,136774,70593,66181,,138523,71376,67147
