2010,S0101_C01_006E,S0101_C02_006E,S0101_C03_006E,2011,S0101_C01_006E,S0101_C02_006E,S0101_C03_006E,,S0101_C01_006E,S0101_C02_006E,S0101_C03_006E,,S0101_C01_006E,S0101_C02_006E,S0101_C03_006E,,S0101_C01_006E,S0101_C02_006E,S0101_C03_006E,,S0101_C01_006E,S0101_C02_006E,S0101_C03_006E,,S0101_C01_006E,S0101_C02_006E,S0101_C03_006E,,S0101_C01_006E,S0101_C03_006E,S0101_C05_006E,,S0101_C01_006E,S0101_C03_006E,S0101_C05_006E,,S0101_C01_006E,S0101_C03_006E,S0101_C05_006E,,S0101_C01_006E,S0101_C03_006E,S0101_C05_006E,,S0101_C01_006E,S0101_C03_006E,S0101_C05_006E,,S0101_C01_006E,S0101_C03_006E,S0101_C05_006E
,Total!!Estimate!!AGE!!20 to 24 years,Male!!Estimate!!AGE!!20 to 24 years,Female!!Estimate!!AGE!!20 to 24 years,,Total!!Estimate!!AGE!!20 to 24 years,Male!!Estimate!!AGE!!20 to 24 years,Female!!Estimate!!AGE!!20 to 24 years,2012,Total!!Estimate!!AGE!!20 to 24 years,Male!!Estimate!!AGE!!20 to 24 years,Female!!Estimate!!AGE!!20 to 24 years,,Total!!Estimate!!AGE!!20 to 24 years,Male!!Estimate!!AGE!!20 to 24 years,Female!!Estimate!!AGE!!20 to 24 years,2014,Total!!Estimate!!AGE!!20 to 24 years,Male!!Estimate!!AGE!!20 to 24 years,Female!!Estimate!!AGE!!20 to 24 years,2015,Total!!Estimate!!AGE!!20 to 24 years,Male!!Estimate!!AGE!!20 to 24 years,Female!!Estimate!!AGE!!20 to 24 years,2016,Total!!Estimate!!AGE!!20 to 24 years,Male!!Estimate!!AGE!!20 to 24 years,Female!!Estimate!!AGE!!20 to 24 years,2017,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Male!!Total population!!AGE!!20 to 24 years,Estimate!!Female!!Total population!!AGE!!20 to 24 years,2018,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Male!!Total population!!AGE!!20 to 24 years,Estimate!!Female!!Total population!!AGE!!20 to 24 years,2019,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Male!!Total population!!AGE!!20 to 24 years,Estimate!!Female!!Total population!!AGE!!20 to 24 years,2020,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Male!!Total population!!AGE!!20 to 24 years,Estimate!!Female!!Total population!!AGE!!20 to 24 years,,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Male!!Total population!!AGE!!20 to 24 years,Estimate!!Female!!Total population!!AGE!!20 to 24 years,2022,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Male!!Total population!!AGE!!20 to 24 years,Estimate!!Female!!Total population!!AGE!!20 to 24 years
,7,7.3,6.7,,7,7.3,6.7,,7,7.3,6.8,2013,7.1,7.4,6.8,,7.1,7.4,6.9,,7.1,7.4,6.9,,7.1,7.4,6.8,,22501965,11551005,10950960,,22286970,11436841,10850129,,22015108,11295219,10719889,,21820378,11180449,10639929,2021,21574425,11019066,10555359,,22239579,11400730,10838849
,7,7.2,6.8,,7.1,7.3,6.9,,7.1,7.3,6.9,,7.2,7.4,7,,7.2,7.4,7,,7.2,7.4,7,,7.1,7.3,6.9,,340119,172691,167428,,334416,169235,165181,,328180,165975,162205,,323960,163665,160295,,326900,163617,163283,,340965,172018,168947
,8,8.5,7.4,,7.9,8.3,7.4,,7.9,8.4,7.5,,8,8.5,7.5,,8.2,8.9,7.5,,8.3,9.1,7.5,,8.1,8.7,7.3,,58558,33652,24906,,56749,32621,24128,,54462,31445,23017,,52775,30455,22320,,50780,29101,21679,,51247,29463,21784
,6.9,7.2,6.6,,7,7.3,6.7,,7,7.3,6.7,,7.1,7.4,6.8,,7.2,7.5,6.9,,7.2,7.5,6.9,,7.2,7.5,6.9,,483497,251540,231957,,488355,254828,233527,,488145,254535,233610,,491151,255949,235202,,477856,248115,229741,,501624,260923,240701
,6.8,7,6.6,,6.9,7,6.7,,6.9,7.1,6.7,,6.9,7.2,6.7,,7,7.2,6.8,,7,7.2,6.8,,6.9,7.2,6.7,,205401,104944,100457,,204406,104637,99769,,202312,103942,98370,,201132,103540,97592,,198013,101049,96964,,205218,105296,99922
,7.4,7.7,7,,7.4,7.8,7.1,,7.5,7.8,7.1,,7.6,7.9,7.2,,7.6,7.9,7.3,,7.6,7.9,7.2,,7.5,7.8,7.2,,2859724,1480311,1379413,,2809630,1452316,1357314,,2751567,1420280,1331287,,2694636,1388360,1306276,,2626849,1349902,1276947,,2674774,1379498,1295276
,7.1,7.4,6.8,,7,7.3,6.7,,7,7.3,6.7,,7,7.3,6.8,,7.1,7.4,6.8,,7.1,7.4,6.8,,7.1,7.4,6.8,,374875,196322,178553,,377987,198127,179860,,377977,197725,180252,,378484,197825,180659,,373987,194651,179336,,390452,204528,185924
,6.2,6.6,5.9,,6.3,6.6,5.9,,6.3,6.7,6,,6.4,6.8,6,,6.5,6.9,6.1,,6.6,7,6.2,,6.7,7.2,6.3,,245849,127823,118026,,245490,127094,118396,,244597,126201,118396,,243381,125316,118065,,241370,123893,117477,,241391,122812,118579
,6.9,7.2,6.6,,7,7.3,6.7,,7.1,7.4,6.8,,7.1,7.4,6.9,,7.1,7.3,6.8,,7,7.3,6.7,,6.8,7.1,6.6,,62751,31721,31030,,61022,31005,30017,,59224,30098,29126,,58482,29779,28703,,57883,29500,28383,,59822,30436,29386
