GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_005E,S0101_C01_006E,S0101_C01_022E,S0101_C01_007E,S0101_C01_008E,S0101_C01_009E,S0101_C01_010E,S0101_C01_011E,S0101_C01_012E,S0101_C01_013E,S0101_C01_014E,S0101_C01_028E,S0101_C02_001E,S0101_C02_002E,S0101_C02_020E,S0101_C02_021E,S0101_C02_005E,S0101_C02_006E,S0101_C02_022E,S0101_C02_007E,S0101_C02_008E,S0101_C02_009E,S0101_C02_010E,S0101_C02_011E,S0101_C02_012E,S0101_C02_013E,S0101_C02_014E,S0101_C02_028E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_005E,S0101_C03_006E,S0101_C03_022E,S0101_C03_007E,S0101_C03_008E,S0101_C03_009E,S0101_C03_010E,S0101_C03_011E,S0101_C03_012E,S0101_C03_013E,S0101_C03_014E,S0101_C03_028E
Geography,Geographic Area Name,total_population,total_population_under_5yrs,total_population_5_to_14yrs,total_population_15_to_17yrs,total_population_15_to_19yrs,total_population_20_to_24yrs,total_population_18_to_24yrs,total_population_25_to_29yrs,total_population_30_to_34yrs,total_population_35_to_39yrs,total_population_40_to_44yrs,total_population_45_to_49yrs,total_population_50_to_54yrs,total_population_55_to_59yrs,total_population_60_to_64yrs,total_population_65yrs_and_over,total_population_male,total_population_under_5yrs_male,total_population_5_to_14yrs_male,total_population_15_to_17yrs_male,total_population_15_to_19yrs_male,total_population_20_to_24yrs_male,total_population_18_to_24yrs_male,total_population_25_to_29yrs_male,total_population_30_to_34yrs_male,total_population_35_to_39yrs_male,total_population_40_to_44yrs_male,total_population_45_to_49yrs_male,total_population_50_to_54yrs_male,total_population_55_to_59yrs_male,total_population_60_to_64yrs_male,total_population_65yrs_and_over_male,total_population_female,total_population_under_5yrs_female,total_population_5_to_14yrs_female,total_population_15_to_17yrs_female,total_population_15_to_19yrs_female,total_population_20_to_24yrs_female,total_population_18_to_24yrs_female,total_population_25_to_29yrs_female,total_population_30_to_34yrs_female,total_population_35_to_39yrs_female,total_population_40_to_44yrs_female,total_population_45_to_49yrs_female,total_population_50_to_54yrs_female,total_population_55_to_59yrs_female,total_population_60_to_64yrs_female,total_population_65yrs_and_over_female
0100000US,United States,303965272,20061708,40731346,13070507,22189465,21277569,30092562,20669638,19453777,20669638,21581534,22797395,21581534,18845847,15502229,38603590,149398724,10308512,20915821,6722943,11354303,10906107,15537467,10457911,9710917,10308512,10756708,11204904,10607309,9113322,7469936,16583258,154566548,9892259,19939085,6337228,10819658,10355959,14683822,10355959,9737693,10355959,10819658,11592491,10974225,9737693,8037460,22257583
0400000US01,Alabama,4712651,301610,626783,202644,344024,329886,471265,306322,287472,311035,325173,348736,339311,301610,254483,636208,2285905,153156,320027,105152,176015,164585,237734,150870,141726,150870,160013,169157,164585,144012,123439,265165,2426746,148032,305770,97070,167445,165019,235394,155312,148032,157738,165019,179579,174726,157738,133471,368865
0400000US02,Alaska,691189,51148,100222,33177,54604,55295,76031,50457,44236,44927,51148,55986,54604,47692,31104,50457,358919,26560,51684,16869,27996,30508,41276,26560,22971,23330,26560,29072,28355,25124,16510,24048,332270,24588,48844,16281,26249,24588,34556,23923,21265,21598,24920,26914,26249,22262,14620,25917
0400000US04,Arizona,6246816,462264,880801,268613,449771,431030,618435,449771,406043,418537,406043,424783,399796,362315,318588,830827,3108234,236226,450694,139871,233118,223793,320148,226901,208252,214468,208252,211360,192711,170953,152303,379205,3138582,225978,429986,131820,219701,207146,295027,219701,197731,207146,200869,213424,204008,188315,169483,455094
0400000US05,Arkansas,2872684,195343,390685,120653,206833,195343,281523,192470,178106,183852,192470,203961,195343,178106,157998,405048,1408945,100035,200070,61994,105671,98626,142303,95808,88764,90172,95808,100035,95808,87355,74674,174709,1463739,95143,190286,58550,99534,96607,139055,96607,87824,92216,95143,103925,99534,90752,83433,231271
0400000US06,California,36637290,2527973,5092583,1685315,2821071,2711159,3810278,2711159,2527973,2637885,2637885,2674522,2454698,2088326,1685315,4066739,18223157,1293844,2605911,874712,1439629,1403183,1986324,1384960,1275621,1330290,1330290,1330290,1220952,1020497,801819,1749423,18414133,1252161,2485908,828636,1362646,1288989,1822999,1325818,1233747,1307403,1307403,1344232,1252161,1086434,865464,2301767
0400000US08,Colorado,4887061,342094,659753,200370,342094,346981,483819,356755,342094,351868,351868,376304,356755,307885,244353,513141,2448492,173843,337892,105285,176291,181188,252195,183637,176291,181188,176291,186085,178740,151807,117528,225261,2438569,165823,321891,97543,163384,165823,231664,175577,165823,170700,173138,187770,180454,156068,124367,290190
0400000US09,Connecticut,3545837,205659,468050,156017,251754,219842,319125,205659,205659,237571,273029,290759,273029,230479,191475,492871,1724834,105215,239752,79342,129363,113839,165584,103490,101765,115564,134537,143161,132812,110389,89691,205255,1821003,100155,227625,74661,122007,107439,154785,101976,103797,123828,140217,149322,138396,118365,100155,287718
0400000US10,Delaware,881278,56402,111922,37014,64333,60808,88128,58164,51995,59046,61689,66977,62571,54639,49352,122498,427218,28624,57247,19225,32469,30760,44431,28624,25633,28624,30332,32469,30332,26488,23070,53402,454060,27698,54941,17708,31330,29968,44044,29514,26790,29968,31784,34509,32692,28606,26790,69471
0400000US11,District of Columbia,584400,32142,52596,18116,43830,56102,81816,62531,51427,43246,38570,38570,36817,33895,28051,67206,276101,16566,26506,9111,20708,25401,36998,28991,24849,21536,19879,19327,17670,15462,12977,26782,308299,16032,26205,8941,22814,30830,44703,33605,26514,21889,18498,19115,19115,18190,15415,40387
0400000US12,Florida,18511620,1073674,2202883,721953,1240279,1203255,1703069,1166232,1092186,1203255,1314325,1388372,1277302,1166232,1055162,3128464,9050155,552059,1122219,380107,633511,615411,877865,579210,543009,597310,651611,678762,615411,552059,506809,1393724,9461465,529842,1078607,350074,596072,586611,832609,577149,548765,605534,652841,700148,662303,614995,558226,1740910
0400000US13,Georgia,9468815,691223,1354041,416628,710161,662817,956350,662817,653348,710161,710161,700692,634411,549191,454503,975288,4626914,351645,694037,212838,365526,337765,485826,328511,319257,347019,351645,342392,310003,263734,212838,407168,4841901,338933,663340,203360,348617,324407,469664,338933,329249,358301,363143,358301,329249,285672,237253,566502
0400000US15,Hawaii,1333591,86683,161365,52010,86683,96019,129358,96019,84016,88017,90684,96019,97352,88017,77348,186703,668202,44770,82857,26728,44770,52120,70161,49447,43433,44770,45438,48111,48111,44101,38088,82189,665389,41920,78516,25285,41254,43250,59220,45912,41254,43250,45912,47908,48573,44581,38593,104466
0400000US16,Idaho,1526797,119090,230546,70233,116037,108403,154206,103822,96188,96188,97715,105349,102295,91608,76340,183216,764429,61154,117722,35928,58861,55803,78736,53510,49688,48923,48923,51981,50452,45101,38221,84087,762368,57940,112068,33544,56415,53366,76237,51079,47267,47267,48029,52603,51841,46504,38118,99108
0400000US17,Illinois,12745359,841194,1746114,560796,930411,879430,1249045,904920,853939,866684,904920,955902,904920,777467,611777,1567679,6250352,431274,893800,287516,481277,450025,637536,456276,431274,437525,450025,468776,437525,375021,293767,656287,6495007,415680,857341,272790,454650,428670,604036,448155,422175,435165,461145,480631,461145,402690,318255,915796
0400000US18,Indiana,6417398,436383,892018,282366,474887,449218,641740,417131,404296,423548,442800,481305,455635,404296,320870,815010,3155214,220865,457506,145140,242951,227175,328142,211399,201934,214555,220865,236641,227175,195623,154605,343918,3262184,212042,437133,137012,231615,221829,316432,208780,198993,208780,225091,241402,231615,205518,166371,473017
0400000US19,Iowa,3016267,199074,398147,126683,220187,214155,307659,190025,177960,183992,196057,223204,220187,196057,153830,446408,1488998,101252,203993,65516,111675,110186,157834,96785,90829,90829,99763,110186,110186,98274,75939,187614,1527269,96218,193963,62618,106909,105382,149672,93163,88582,91636,96218,111491,108436,97745,77891,258108
0400000US20,Kansas,2809329,199462,396115,120801,207890,205081,292170,188225,174178,174178,182606,207890,199462,174178,137657,368022,1391010,100153,203087,62595,107108,105717,150229,95980,87634,89025,91807,102935,98762,86243,66768,157184,1418319,97864,191473,59569,99282,100701,140414,92191,85099,86517,90772,104956,100701,87936,69498,211330
0400000US21,Kentucky,4285828,278579,565729,175719,300008,287150,411439,282865,274293,291436,304294,325723,308580,278579,231435,561443,2105483,143173,290557,90536,153700,147384,208443,143173,138962,145278,153700,160017,151595,136856,109485,237920,2180345,135181,274723,85033,146083,141722,200592,141722,135181,143903,152624,163526,159165,143903,119919,322691
0400000US22,Louisiana,4429940,305666,606902,194917,327816,332246,469574,318956,274656,279086,301236,327816,318956,274656,225927,536023,2165456,155913,309660,99611,166740,168906,236035,158078,136424,138589,147251,160244,155913,132093,108273,227373,2264484,149456,296647,95108,163043,165307,233242,158514,138134,140398,153985,167572,163043,142662,117753,310234
0400000US23,Maine,1327665,70366,156664,54434,91609,79660,116835,71694,71694,84971,96920,110196,108869,98247,82315,203133,649666,36381,80559,27936,47426,40279,59120,35732,35732,42228,47426,53922,53273,48725,40279,87705,677999,33900,76614,26442,44748,39324,57630,35934,36612,42714,49494,56274,55596,50172,42036,115260
0400000US24,Maryland,5696423,364571,746231,250643,410142,381660,546857,381660,358875,398750,438625,461410,421535,364571,290518,677874,2754058,187276,380060,126687,212062,195538,278160,187276,173506,190030,209308,220325,201046,173506,137703,283668,2942365,179484,367796,120637,200081,188311,267755,194196,182427,205966,226562,238332,220677,191254,155945,391335
0400000US25,Massachusetts,6477096,369194,796683,265561,466351,459874,660664,427488,401580,433965,492259,511691,479305,414534,343286,874408,3132249,187935,407192,137819,238051,231786,332018,209861,197332,212993,241183,250580,231786,200464,162877,363341,3344847,180622,391347,130449,230794,227450,331140,217415,204036,224105,250864,264243,244174,214070,180622,515106
0400000US26,Michigan,9952687,617067,1353565,457824,756404,666830,965411,607114,587209,656877,706641,766357,746452,656877,517540,1313755,4884438,312604,693590,234453,390755,337026,493328,302835,288182,322373,351680,380986,366333,322373,249106,561710,5068249,299027,658872,217935,369982,329436,476415,299027,293958,329436,354777,390255,380119,334504,268617,755169
0400000US27,Minnesota,5241914,351208,702416,225402,377418,361692,508466,361692,330241,340724,372176,414111,387902,330241,256854,660481,2601448,179500,359000,114464,192507,182101,260145,184703,169094,174297,187304,208116,195109,163891,124870,283558,2640466,174271,343261,110900,182192,176911,250844,176911,163709,168990,184833,205956,192754,166349,129383,372306
0400000US28,Mississippi,2941991,208881,414821,132390,226533,214765,308909,197113,182403,185345,200055,211823,202997,182403,147100,370691,1427843,107088,212749,67109,115655,107088,155635,97093,88526,91382,97093,102805,98521,87098,71392,152779,1514148,101448,202896,66623,112047,105990,152929,99934,92363,95391,102962,109019,104476,95391,77222,216523
