GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_022E,S0101_C01_022E,S0101_C01_007E,S0101_C01_007E,S0101_C01_008E,S0101_C01_008E,S0101_C01_028E,,S0101_C02_001E,S0101_C02_002E,S0101_C02_020E,S0101_C02_021E,S0101_C02_022E,S0101_C02_022E,S0101_C02_007E,S0101_C02_007E,S0101_C02_008E,S0101_C02_008E,S0101_C02_028E,,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_022E,S0101_C03_022E,S0101_C03_007E,S0101_C03_007E,S0101_C03_008E,S0101_C03_008E,S0101_C03_028E
Geography,Geographic Area Name,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!30 to 34 years,Total!!Estimate!!AGE!!30 to 34 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,,Male!!Estimate!!Total population,Male!!Estimate!!AGE!!Under 5 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!30 to 34 years,Male!!Estimate!!AGE!!30 to 34 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,,Female!!Estimate!!Total population,Female!!Estimate!!AGE!!Under 5 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!30 to 34 years,Female!!Estimate!!AGE!!30 to 34 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over
0100000US,United States,306603772,20235849,40778302,13183962,30660377,10,20849056,6.8,19622641,6.4,39551887,,150740216,10250335,20952890,6632570,15676982,10.4,10551815,7,9948854,6.6,17033644,,155863556,9819404,19950535,6390406,14962901,9.6,10442858,6.7,9819404,6.3,22600216
0400000US01,Alabama,4747424,303835,626660,199392,479490,10.1,308583,6.5,294340,6.2,645650,,2302958,154298,320111,103633,239508,10.4,151995,6.6,142783,6.2,271749,,2444466,149112,308003,97779,237113,9.7,156446,6.4,149112,6.1,374003
0400000US02,Alaska,700703,52553,100901,32933,75676,10.8,52553,7.5,45546,6.5,52553,,363548,27266,51987,17087,41444,11.4,27630,7.6,23631,6.5,25448,,337155,25287,48887,15846,34390,10.2,24949,7.4,22252,6.6,27310
0400000US04,Arizona,6337373,462628,887232,272507,627400,9.9,449953,7.1,411929,6.5,861883,,3152339,236425,453937,138703,324691,10.3,230121,7.3,211207,6.7,390890,,3185034,226137,436350,130586,302578,9.5,216582,6.8,200657,6.3,468200
0400000US05,Arkansas,2895928,196923,390950,118733,283801,9.8,194027,6.7,179548,6.2,414118,,1421287,100911,200401,61115,143550,10.1,95226,6.7,90962,6.4,179082,,1474641,95852,191703,57511,140091,9.5,97326,6.6,88478,6,234468
0400000US06,California,36969200,2550875,5064780,1663614,3881766,10.5,2735721,7.4,2550875,6.9,4177520,,18387718,1305528,2592668,864223,2022649,11,1397467,7.6,1287140,7,1801996,,18581482,1244959,2489919,817585,1858148,10,1337867,7.2,1244959,6.7,2359848
0400000US08,Colorado,4966061,342658,670418,203609,486674,9.8,367489,7.4,352590,7.1,536335,,2489370,174256,341044,104554,253916,10.2,186703,7.5,181724,7.3,236490,,2476691,165938,326923,96591,232809,9.4,178322,7.2,168415,6.8,299680
0400000US09,Connecticut,3558172,202816,462562,153001,323794,9.1,209932,5.9,206374,5.8,498144,,1731389,103883,237200,77913,166213,9.6,105615,6.1,102152,5.9,209498,,1826783,98646,226521,74898,157103,8.6,104127,5.7,104127,5.7,290458
0400000US10,Delaware,890856,56124,113139,36525,89086,10,57906,6.5,52561,5.9,126502,,432225,28527,57486,19018,44951,10.4,28527,6.6,25934,6,55325,,458631,27518,55036,17428,44487,9.7,29352,6.4,27059,5.9,71088
0400000US11,District of Columbia,593955,33261,52268,17225,83154,14,65929,11.1,53456,9,67711,,280675,16841,26103,8701,37610,13.4,30594,10.9,25822,9.2,27225,,313280,16291,26002,8772,45739,14.6,35401,11.3,27569,8.8,40726
0400000US12,Florida,18688787,1083950,2205277,728863,1738057,9.3,1177394,6.3,1102638,5.9,3214471,,9138819,548329,1124075,374692,886465,9.7,594023,6.5,548329,6,1425656,,9549968,525248,1079146,353349,840397,8.8,582548,6.1,553898,5.8,1785844
0400000US13,Georgia,9600612,691244,1372888,422427,969662,10.1,672043,7,652842,6.8,1008064,,4691368,351853,699014,215803,497285,10.6,328396,7,323704,6.9,422223,,4909244,338738,672566,206188,471287,9.6,343647,7,333829,6.8,584200
0400000US15,Hawaii,1346554,87526,162933,52516,129269,9.6,96952,7.2,86179,6.4,191211,,674569,45196,83647,26983,69481,10.3,50593,7.5,43847,6.5,84321,,671985,42335,79294,25535,59135,8.8,47039,7,41663,6.2,106846
0400000US16,Idaho,1549987,119349,234048,69749,154999,10,105399,6.8,100749,6.5,189098,,776969,61381,120430,36518,79251,10.2,53611,6.9,51280,6.6,87021,,773018,58749,114407,33240,76529,9.9,51792,6.7,48700,6.3,102038
0400000US17,Illinois,12790182,844152,1739465,562768,1253438,9.8,908103,7.1,856942,6.7,1585983,,6272579,426535,890706,288539,639803,10.2,451626,7.2,432808,6.9,664893,,6517603,410609,853806,273739,606137,9.3,449715,6.9,430162,6.6,925500
0400000US18,Indiana,6454254,432435,890687,277533,651880,10.1,419527,6.5,406618,6.3,832599,,3175252,222268,457236,142886,330226,10.4,212742,6.7,203216,6.4,352453,,3279002,213135,436107,134439,321342,9.8,209856,6.4,200019,6.1,478734
0400000US19,Iowa,3032266,200130,400259,127355,306259,10.1,194065,6.4,181936,6,451808,,1498400,101891,205281,64431,157332,10.5,98894,6.6,92901,6.2,190297,,1533866,98167,194801,61355,150319,9.8,95100,6.2,88964,5.8,259223
0400000US20,Kansas,2830985,201000,396338,118901,288760,10.2,192507,6.8,175521,6.2,370859,,1403192,102433,203463,61740,150142,10.7,98223,7,89804,6.4,158561,,1427793,98518,192752,58540,139924,9.8,95662,6.7,87095,6.1,212741
0400000US21,Kentucky,4316040,280543,565401,176958,414340,9.6,284859,6.6,276227,6.4,569717,,2120101,142047,290454,91164,209890,9.9,142047,6.7,139927,6.6,243812,,2195939,136148,276688,85642,202026,9.2,142736,6.5,138344,6.3,327195
0400000US22,Louisiana,4484596,309437,609905,192838,475367,10.6,322891,7.2,282530,6.3,547121,,2193423,157926,311466,98704,236890,10.8,162313,7.4,140379,6.4,232503,,2291173,151217,297852,93938,235991,10.3,162673,7.1,142053,6.2,316182
0400000US23,Maine,1328543,69084,155440,53142,116912,8.8,73070,5.5,71741,5.4,207253,,650339,35769,79341,27314,59831,9.2,35769,5.5,35118,5.4,90397,,678204,33232,75281,25772,56969,8.4,36623,5.4,36623,5.4,117329
0400000US24,Maryland,5736545,367139,745751,246671,550708,9.6,390085,6.8,361402,6.3,694122,,2774785,185911,380146,124865,283028,10.2,191460,6.9,174811,6.3,294127,,2961760,177706,364296,118470,269520,9.1,198438,6.7,186591,6.3,399838
0400000US25,Massachusetts,6512227,364685,794492,260489,670759,10.3,436319,6.7,403758,6.2,892175,,3150111,189007,406364,135455,333912,10.6,214208,6.8,198457,6.3,368563,,3362116,178192,386643,127760,336212,10,218538,6.5,205089,6.1,521128
0400000US26,Michigan,9920621,605158,1329363,446428,972221,9.8,595237,6,575396,5.8,1339284,,4867629,306661,681468,228779,496498,10.2,296925,6.1,287190,5.9,574380,,5052992,293074,651836,217279,480034,9.5,298127,5.9,293074,5.8,768055
0400000US27,Minnesota,5278190,353639,701999,221684,506706,9.6,369473,7,337804,6.4,670330,,2620590,180821,361641,115306,259438,9.9,186062,7.1,172959,6.6,293506,,2657600,172744,342830,108962,249814,9.4,180717,6.8,167429,6.3,380037
0400000US28,Mississippi,2956700,209926,416895,130095,307497,10.4,198099,6.7,183315,6.2,375501,,1434572,107593,212317,65990,154934,10.8,96116,6.7,90378,6.3,156368,,1522128,101983,203965,65452,152213,10,100460,6.6,94372,6.2,219186
0400000US29,Missouri,5955802,387127,786166,250144,589624,9.9,399039,6.7,369260,6.2,827856,,2915275,198239,402308,128272,297358,10.2,198239,6.8,183662,6.3,352748,,3040527,188513,383106,121621,291891,9.6,200675,6.6,182432,6,471282
0400000US30,Montana,982854,60937,122857,40297,96320,9.8,61920,6.3,57988,5.9,143497,,492668,31038,63062,20199,49759,10.1,32516,6.6,29560,6,66018,,490186,29901,59313,19607,46568,9.5,29901,6.1,27941,5.7,77449
0400000US31,Nebraska,1813061,130540,248389,76149,184932,10.2,125101,6.9,114223,6.3,244763,,898314,66475,126662,39526,94323,10.5,63780,7.1,58390,6.5,104204,,914747,64032,121661,37505,89645,9.8,61288,6.7,56714,6.2,139042
0400000US32,Nevada,2673396,189811,363582,109609,245952,9.2,197831,7.4,187138,7,315461,,1350934,97267,185078,56739,126988,9.4,99969,7.4,95916,7.1,148603,,1322462,92572,177210,54221,119022,9,96540,7.3,91250,6.9,166630
0400000US33,New Hampshire,1315911,71059,164489,55268,123696,9.4,72375,5.5,72375,5.5,175016,,649547,36375,84441,28580,62357,9.6,36375,5.6,35725,5.5,77296,,666364,34651,79964,27321,61305,9.2,35317,5.3,35984,5.4,97956
0400000US34,New Jersey,8753064,542690,1155404,376382,761517,8.7,551443,6.3,551443,6.3,1172911,,4261485,276997,588085,191767,392057,9.2,276997,6.5,276997,6.5,485809,,4491579,265003,561447,179663,363818,8.1,273986,6.1,278478,6.2,687212
0400000US35,New Mexico,2037136,144637,283162,89634,205751,10.1,138525,6.8,124265,6.1,266865,,1005646,73412,142802,45254,105593,10.5,70395,7,62350,6.2,119672,,1031490,70141,139251,43323,99023,9.6,67047,6.5,60858,5.9,146472
0400000US36,New York,19302448,1158147,2393504,810703,1949547,10.1,1370474,7.1,1273962,6.6,2586528,,9341547,588517,1223743,411028,990204,10.6,672591,7.2,625884,6.7,1074278,,9960901,567771,1165425,388475,966207,9.7,697263,7,647459,6.5,1524018
0400000US37,North Carolina,9418736,631055,1252692,386168,923036,9.8,612218,6.5,621637,6.6,1205598,,4588579,321201,642401,197309,472624,10.3,302846,6.6,307435,6.7,509332,,4830157,304300,613430,183546,454035,9.4,313960,6.5,313960,6.5,695543
0400000US38,North Dakota,666783,42674,79347,26005,82681,12.4,46675,7,40007,6,96684,,336763,21890,40748,13807,43779,13,24920,7.4,21216,6.3,42095,,330020,20791,38942,12211,38942,11.8,21451,6.5,19141,5.8,54783
0400000US39,Ohio,11525536,726109,1532896,495598,1094926,9.5,737634,6.4,680007,5.9,1602050,,5624513,365593,781807,253103,551202,9.8,365593,6.5,343095,6.1,674942,,5901023,354061,749430,241942,542894,9.2,365863,6.2,342259,5.8,932362
0400000US40,Oklahoma,3714520,260016,505175,156010,382596,10.3,260016,7,234015,6.3,497746,,1838148,132347,261017,79040,196682,10.7,132347,7.2,119480,6.5,216901,,1876372,127593,245805,75055,185761,9.9,127593,6.8,114459,6.1,281456
0400000US41,Oregon,3801991,235723,479051,152080,357387,9.4,262337,6.9,254733,6.7,520873,,1882081,120453,244671,77165,182562,9.7,131746,7,129864,6.9,231496,,1919910,115195,234229,72957,176632,9.2,130554,6.8,124794,6.5,289906
0400000US42,Pennsylvania,12660739,721662,1557271,519090,1240752,9.8,772305,6.1,721662,5.7,1949754,,6167949,370077,795665,271390,629131,10.2,388581,6.3,357741,5.8,814169,,6492790,357103,759656,253219,616815,9.5,389567,6,363596,5.6,1129745
0400000US44,Rhode Island,1053959,57968,126475,42158,119097,11.3,66399,6.3,61130,5.8,150716,,508799,30019,64617,21878,59529,11.7,33072,6.5,30019,5.9,61565,,545160,28348,61603,20716,59422,10.9,33255,6.1,31074,5.7,89406
