GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_022E,S0101_C01_022E,S0101_C01_007E,S0101_C01_007E,S0101_C01_008E,S0101_C01_008E,S0101_C01_028E,S0101_C02_001E,S0101_C02_002E,S0101_C02_020E,S0101_C02_021E,S0101_C02_022E,S0101_C02_022E,S0101_C02_007E,S0101_C02_007E,S0101_C02_008E,S0101_C02_008E,S0101_C02_028E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_022E,S0101_C03_022E,S0101_C03_007E,S0101_C03_007E,S0101_C03_008E,S0101_C03_008E,S0101_C03_028E
Geography,Geographic Area Name,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!30 to 34 years,Total!!Estimate!!AGE!!30 to 34 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Male!!Estimate!!Total population,Male!!Estimate!!AGE!!Under 5 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!30 to 34 years,Male!!Estimate!!AGE!!30 to 34 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Female!!Estimate!!Total population,Female!!Estimate!!AGE!!Under 5 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!30 to 34 years,Female!!Estimate!!AGE!!30 to 34 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over
0100000US,United States,311536594,19938342,41122830,12773000,31153659,10,21184488,6.8,20561415,6.6,41745904,153247412,10267577,20994895,6589639,15937731,10.4,10727319,7,10267577,6.7,18236442,158289182,9813929,20102726,6173278,15195761,9.6,10447086,6.6,10130508,6.4,23743377
0400000US01,Alabama,4799277,302354,628705,196770,484727,10.1,311953,6.5,302354,6.3,681497,2328592,153687,319017,100129,242174,10.4,153687,6.6,149030,6.4,291074,2470685,148241,306365,93886,239656,9.7,158124,6.4,153182,6.2,390368
0400000US02,Alaska,720316,54024,102285,30974,77794,10.8,56905,7.9,49702,6.9,59066,375798,28185,52612,16159,43217,11.5,30064,8,25930,6.9,28936,344518,26183,49611,15159,35141,10.2,26872,7.8,23772,6.9,29973
0400000US04,Arizona,6479703,447100,907158,272148,647970,10,440620,6.8,427660,6.6,933077,3221367,228717,460655,138519,335022,10.4,225496,7,215832,6.7,425220,3258336,218309,443134,130333,312800,9.6,215050,6.6,208534,6.4,505042
0400000US05,Arkansas,2933369,196536,396005,117335,287470,9.8,193602,6.6,187736,6.4,431205,1439862,99350,203021,60474,145426,10.1,96471,6.7,93591,6.5,188622,1493507,95584,194156,58247,140390,9.4,95584,6.4,92597,6.2,243442
0400000US06,California,37659181,2523165,5083989,1619345,3954214,10.5,2786779,7.4,2636143,7,4443783,18726468,1292126,2602979,842691,2059911,11,1441938,7.7,1348306,7.2,1947553,18932713,1230626,2480185,795174,1912204,10.1,1344223,7.1,1306357,6.9,2499118
0400000US08,Colorado,5119329,337876,691109,199654,501694,9.8,378830,7.4,368592,7.2,583604,2568343,174647,351863,102734,261971,10.2,195194,7.6,190057,7.4,261971,2550986,165814,336730,96937,239793,9.4,183671,7.2,178569,7,323975
0400000US09,Connecticut,3583561,197096,455112,150510,336855,9.4,218597,6.1,211430,5.9,519616,1745364,101231,233879,76796,172791,9.9,109958,6.3,104722,6,219916,1838197,97424,222422,73528,163600,8.9,106615,5.8,106615,5.8,299626
0400000US10,Delaware,908446,56324,113556,35429,91753,10.1,59049,6.5,55415,6.1,135358,439985,28599,57638,18039,45758,10.4,29479,6.7,27279,6.2,59398,468461,27639,55747,17333,45909,9.8,29513,6.3,28576,6.1,75891
0400000US11,District of Columbia,619371,36543,52647,16104,83615,13.5,72466,11.7,60698,9.8,70608,293104,18759,26379,8207,38104,13,33414,11.4,29310,10,28431,326267,17945,26101,8157,45677,14,39152,12,31322,9.6,42088
0400000US12,Florida,19091156,1069105,2214574,706373,1775478,9.3,1202743,6.3,1145469,6,3398226,9332589,550623,1138576,363971,905261,9.7,606618,6.5,569288,6.1,1511879,9758567,526963,1083201,341550,858754,8.8,595273,6.1,575755,5.9,1883403
0400000US13,Georgia,9810417,676919,1393079,412038,1000663,10.2,676919,6.9,667108,6.8,1088956,4793940,345164,714297,210933,512952,10.7,335576,7,330782,6.9,465012,5016477,331087,682241,200659,486598,9.7,341120,6.8,341120,6.8,622043
0400000US15,Hawaii,1376298,89459,165156,49547,133501,9.7,101846,7.4,92212,6.7,203692,691426,45634,85045,25583,72600,10.5,53931,7.8,47708,6.9,90577,684872,43147,80130,24655,60954,8.9,47256,6.9,44517,6.5,113689
0400000US16,Idaho,1583364,117169,240671,69668,155170,9.8,106085,6.7,104502,6.6,204254,793708,60322,123025,35717,79371,10,53972,6.8,53178,6.7,95245,789656,57645,116869,33166,76597,9.7,51328,6.5,51328,6.5,109762
0400000US17,Illinois,12848554,822307,1721706,539639,1246310,9.7,899399,7,873702,6.8,1657463,6304099,416071,876270,277380,643018,10.2,453895,7.2,441287,7,699755,6544455,399212,844235,261778,608634,9.3,445023,6.8,438478,6.7,955490
0400000US18,Indiana,6514861,429981,892536,273624,658001,10.1,416951,6.4,416951,6.4,866477,3206295,218028,458500,141077,333455,10.4,208409,6.5,208409,6.5,371930,3308566,208440,436731,132343,324239,9.8,208440,6.3,205131,6.2,496285
0400000US19,Iowa,3062553,199066,404257,122502,309318,10.1,196003,6.4,189878,6.2,462446,1516152,100066,206197,63678,159196,10.5,100066,6.6,97034,6.4,198616,1546401,97423,197939,60310,151547,9.8,95877,6.2,94330,6.1,262888
0400000US20,Kansas,2868107,203636,404403,117592,292547,10.2,195031,6.8,186427,6.5,387194,1425049,102604,206632,61277,152480,10.7,99753,7,95478,6.7,168156,1443058,99571,196256,57722,139977,9.7,95242,6.6,90913,6.3,217902
0400000US21,Kentucky,4361333,279125,571335,170092,418688,9.6,279125,6.4,283487,6.5,597503,2145986,143781,291854,87985,214599,10,141635,6.6,141635,6.6,257518,2215347,135136,276918,81968,206027,9.3,139567,6.3,141782,6.4,338948
0400000US22,Louisiana,4567968,310622,616676,187287,475069,10.4,333462,7.3,306054,6.7,575564,2234939,158681,315126,93867,239138,10.7,165385,7.4,154211,6.9,248078,2333029,153980,300961,90988,235636,10.1,167978,7.2,151647,6.5,328957
0400000US23,Maine,1328320,67744,151428,50476,115564,8.7,74386,5.6,73058,5.5,219173,649600,34429,77302,25984,59114,9.1,36378,5.6,35728,5.5,97440,678720,32579,73980,24434,56334,8.3,37330,5.5,36651,5.4,122170
0400000US24,Maryland,5834299,367561,746790,239206,560093,9.6,402567,6.9,385064,6.6,740956,2824531,186419,378487,121455,288102,10.2,200542,7.1,186419,6.6,313523,3009768,180586,367192,114371,273889,9.1,201654,6.7,195635,6.5,424377
0400000US25,Massachusetts,6605058,363278,786002,257597,686926,10.4,455749,6.9,416119,6.3,931313,3197502,188653,399688,131098,342133,10.7,227023,7.1,204640,6.4,393293,3407556,177193,385054,126080,344163,10.1,228306,6.7,211268,6.2,541801
0400000US26,Michigan,9886095,583280,1295078,425102,988610,10,593166,6,583280,5.9,1403825,4851302,300781,664628,218309,504535,10.4,295929,6.1,291078,6,611264,5034793,286983,634384,206427,483340,9.6,292018,5.8,292018,5.8,795497
0400000US27,Minnesota,5347740,352951,711249,219257,502688,9.4,368994,6.9,358299,6.7,711249,2655658,180585,363825,111538,257599,9.7,185896,7,180585,6.8,310712,2692082,172293,347279,104991,247672,9.2,183062,6.8,174985,6.5,398428
0400000US28,Mississippi,2976872,205404,416762,128005,309595,10.4,196474,6.6,190520,6.4,392947,1445356,105511,212467,63596,156098,10.8,96839,6.7,93948,6.5,166216,1531516,101080,203692,62792,153152,10,98017,6.4,98017,6.4,226664
0400000US29,Missouri,6007182,384460,786941,240287,588704,9.8,402481,6.7,384460,6.4,865034,2941951,197111,403047,123562,300079,10.2,200053,6.8,191227,6.5,373628,3065231,186979,386219,119544,294262,9.6,199240,6.5,193110,6.3,490437
0400000US30,Montana,998554,60912,123821,38944,96860,9.7,62909,6.3,60912,6.1,152779,501549,31096,63697,20062,50656,10.1,32601,6.5,31598,6.3,71220,497005,29820,60138,18389,46718,9.4,30317,6.1,29323,5.9,81509
0400000US31,Nebraska,1841625,130755,255986,73665,186004,10.1,127072,6.9,121547,6.6,252303,913478,66684,129714,38366,95002,10.4,64857,7.1,61203,6.7,109617,928147,64042,125300,36198,90958,9.8,62186,6.7,59401,6.4,142935
0400000US32,Nevada,2730066,182914,368559,111933,251166,9.2,196565,7.2,193835,7.1,343988,1377138,93645,188668,56463,129451,9.4,100531,7.3,99154,7.2,162502,1352928,89293,179939,54117,121764,9,96058,7.1,94705,7,182645
