GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_022E,S0101_C01_022E,S0101_C01_007E,S0101_C01_007E,S0101_C01_008E,S0101_C01_008E,,S0101_C01_028E,S0101_C02_001E,S0101_C02_002E,S0101_C02_020E,S0101_C02_021E,S0101_C02_022E,S0101_C02_022E,S0101_C02_007E,S0101_C02_007E,S0101_C02_008E,S0101_C02_008E,,S0101_C02_028E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_022E,S0101_C03_022E,S0101_C03_007E,S0101_C03_007E,S0101_C03_008E,S0101_C03_008E,,S0101_C03_028E
Geography,Geographic Area Name,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!30 to 34 years,Total!!Estimate!!AGE!!30 to 34 years,,Total!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Male!!Estimate!!Total population,Male!!Estimate!!AGE!!Under 5 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!30 to 34 years,Male!!Estimate!!AGE!!30 to 34 years,,Male!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Female!!Estimate!!Total population,Female!!Estimate!!AGE!!Under 5 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!30 to 34 years,Female!!Estimate!!AGE!!30 to 34 years,,Female!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over
0100000US,United States,316515021,19940446,41146953,12660601,31334987,9.9,21839536,6.9,21206506,6.7,,44628618,155734280,10122728,21024128,6385105,16040631,10.3,11057134,7.1,10589931,6.8,,19466785,160780741,9807625,20097593,6109668,15274170,9.5,10772310,6.7,10611529,6.6,,25081796
0400000US01,Alabama,4830620,294668,623150,193225,478231,9.9,313990,6.5,309160,6.4,,719762,2341093,149830,318389,98326,241133,10.3,154512,6.6,149830,6.4,,309024,2489527,144393,306212,94602,238995,9.6,159330,6.4,156840,6.3,,410772
0400000US02,Alaska,733375,55003,102673,30802,80671,11,60870,8.3,53536,7.3,,66004,384160,28428,52630,15751,46099,12,32269,8.4,28044,7.3,,32269,349215,26540,49938,14667,34572,9.9,28286,8.1,25143,7.2,,33175
0400000US04,Arizona,6641928,431725,909944,272319,664193,10,445009,6.7,438367,6.6,,1022857,3299088,221039,465171,138562,343105,10.4,230936,7,224338,6.8,,468470,3342840,213942,447941,133714,320913,9.6,217285,6.5,213942,6.4,,551569
0400000US05,Arkansas,2958208,192284,396400,118328,286946,9.7,192284,6.5,192284,6.5,,452606,1451913,98730,203268,60980,146643,10.1,95826,6.6,95826,6.6,,200364,1506295,93390,194312,57239,141592,9.4,96403,6.4,94897,6.3,,253058
0400000US06,California,38421464,2497395,5071633,1575280,3995832,10.4,2881610,7.5,2766345,7.2,,4802683,19087135,1278838,2595850,801660,2061411,10.8,1469709,7.7,1393361,7.3,,2118672,19334329,1237397,2494128,773373,1933433,10,1392072,7.2,1353403,7,,2687472
0400000US08,Colorado,5278906,337850,702094,200598,517333,9.8,395918,7.5,390639,7.4,,644027,2648667,172163,360219,103298,270164,10.2,203947,7.7,201299,7.6,,291353,2630239,163075,344561,97319,247242,9.4,189377,7.2,189377,7.2,,352452
0400000US09,Connecticut,3593222,190441,445560,147322,344949,9.6,219187,6.1,215593,6,,542577,1751607,98090,227709,75319,178664,10.2,112103,6.4,106848,6.1,,231212,1841615,93922,217311,71823,167587,9.1,108655,5.9,108655,5.9,,311233
0400000US10,Delaware,926454,55587,113954,34279,90792,9.8,62072,6.7,58367,6.3,,147306,448413,28250,57845,17488,45738,10.2,30940,6.9,28698,6.4,,65020,478041,27248,56409,16731,45414,9.5,31073,6.5,29639,6.2,,82223
