GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_022E,S0101_C01_022E,S0101_C01_007E,S0101_C01_008E,,S0101_C01_028E,S0101_C02_001E,S0101_C02_002E,S0101_C02_020E,S0101_C02_021E,S0101_C02_022E,S0101_C02_007E,S0101_C02_008E,,S0101_C02_028E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_022E,S0101_C03_007E,S0101_C03_008E,,S0101_C03_028E
Geography,Geographic Area Name,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!30 to 34 years,,Total!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Male!!Estimate!!Total population,Male!!Estimate!!AGE!!Under 5 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!30 to 34 years,,Male!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Female!!Estimate!!Total population,Female!!Estimate!!AGE!!Under 5 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!30 to 34 years,,Female!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over
0100000US,United States,318558162,19750606,41094003,12423768,31218700,9.8,6.9,6.7,,46190933,156765322,10189746,21006553,6427378,10.2,7.1,6.9,,20379492,161792840,9707570,20224105,6148128,9.4,6.7,6.6,,25886854
0400000US01,Alabama,4841164,290470,619669,193647,474434,9.8,6.6,6.3,,740698,2346193,147810,316736,98540,10.2,6.7,6.4,,321428,2494971,144708,304386,94809,9.4,6.5,6.3,,421650
0400000US02,Alaska,736855,54527,103160,30211,78843,10.7,8.3,7.4,,69264,385296,27741,53171,15412,11.6,8.4,7.5,,34291,351559,26367,49921,14765,9.7,8.2,7.3,,35156
0400000US04,Arizona,6728577,437358,915086,275872,666129,9.9,6.8,6.6,,1069844,3344106,220711,464831,140452,10.4,7.1,6.8,,491584,3384471,213222,446750,131994,9.5,6.5,6.4,,578745
0400000US05,Arkansas,2968472,189982,397775,118739,287942,9.7,6.5,6.4,,466050,1456694,97598,202480,61181,10.1,6.6,6.6,,205394,1511778,93730,193508,58959,9.3,6.4,6.3,,260026
0400000US06,California,38654206,2512523,5063701,1546168,3942729,10.2,7.6,7.2,,4986393,19200970,1286465,2592131,806441,10.7,7.8,7.4,,2188911,19453236,1225554,2490014,758676,9.8,7.3,7,,2781813
0400000US08,Colorado,5359295,337636,707427,203653,525211,9.8,7.5,7.4,,680630,2689636,172137,363101,104896,10.1,7.7,7.6,,306619,2669659,162849,344386,98777,9.4,7.2,7.2,,371083
0400000US09,Connecticut,3588570,190194,437806,147131,348091,9.7,6.1,6.1,,556228,1750270,96265,224035,75262,10.3,6.4,6.2,,238037,1838300,91915,215081,71694,9.2,5.9,6,,316188
0400000US10,Delaware,934695,55147,114033,34584,89731,9.6,6.8,6.3,,154225,452416,28502,57457,17644,9.9,7.1,6.4,,68315,482279,27490,56427,16880,9.3,6.6,6.2,,85363
0400000US11,District of Columbia,659009,42177,57334,15816,81058,12.3,11.9,10.8,,75127,312629,21259,28762,7816,11.9,11.5,10.9,,30638,346380,20436,28403,7620,12.7,12.2,10.7,,44683
0400000US12,Florida,19934451,1096395,2252593,717640,1774166,8.9,6.5,6.2,,3807480,9741262,555252,1159210,360427,9.4,6.8,6.3,,1704721,10193189,540239,1111058,346568,8.5,6.3,6,,2089604
0400000US13,Georgia,10099320,656456,1413905,424171,1009932,10,6.9,6.8,,1242216,4922471,339650,718681,216589,10.5,7,6.8,,541472,5176849,320965,693698,207074,9.6,6.7,6.8,,704051
0400000US15,Hawaii,1413673,91889,168227,48065,132885,9.4,7.3,7,,227601,709870,46851,86604,24136,10.2,7.7,7.2,,102221,703803,45043,81641,23929,8.5,6.9,6.9,,125981
0400000US16,Idaho,1635483,114484,245322,71961,157006,9.6,6.5,6.6,,233874,819845,58209,126256,36893,9.9,6.6,6.6,,109859,815638,56279,119083,35072,9.2,6.5,6.5,,123977
0400000US17,Illinois,12851684,783953,1683571,526919,1246613,9.7,6.9,6.9,,1786384,6310460,403869,858223,265039,10,7.2,7,,769876,6541224,385932,824194,255108,9.3,6.7,6.8,,1013890
0400000US18,Indiana,6589578,421733,889593,270173,665547,10.1,6.4,6.4,,942310,3245322,214191,454345,139549,10.5,6.6,6.5,,408911,3344256,204000,434753,133770,9.8,6.3,6.3,,531737
0400000US19,Iowa,3106589,195715,406963,121157,319979,10.3,6.2,6.4,,490841,1542988,100294,209846,61720,10.7,6.4,6.6,,216018,1563601,95380,198577,59417,9.9,6,6.2,,275194
0400000US20,Kansas,2898292,199982,402863,118830,298524,10.3,6.6,6.7,,414456,1441912,102376,206193,60560,10.8,6.8,6.8,,183123,1456380,97577,198068,58255,9.8,6.4,6.5,,231564
0400000US21,Kentucky,4411989,273543,569147,172068,427963,9.7,6.4,6.4,,652974,2172745,141228,291148,86910,10.1,6.6,6.6,,284630,2239244,134355,277666,82852,9.3,6.3,6.3,,367236
0400000US22,Louisiana,4645670,311260,622520,185827,464567,10,7.3,7,,631811,2271684,156746,315764,93139,10.4,7.5,7.2,,274874,2373986,151935,303870,90211,9.7,7.2,6.9,,358472
0400000US23,Maine,1329923,65166,146292,47877,113043,8.5,5.8,5.7,,242046,651344,33219,75556,24751,9,5.9,5.7,,109426,678579,31893,71251,23072,8.1,5.7,5.6,,133001
0400000US24,Maryland,5959902,369514,750948,232436,560231,9.4,7,6.8,,822466,2886734,187638,381049,118356,9.9,7.2,6.9,,352182,3073168,181317,368780,113707,8.9,6.8,6.7,,467122
0400000US25,Massachusetts,6742143,364076,775346,249459,701183,10.4,7.1,6.6,,1018064,3269371,186354,395594,127505,10.7,7.3,6.8,,434826,3472772,177111,378532,121547,10.1,6.9,6.5,,583426
0400000US26,Michigan,9909600,574757,1248610,406294,1000870,10.1,6.2,6,,1526078,4869885,297063,637955,209405,10.5,6.4,6,,672044,5039715,277184,609806,196549,9.7,6,5.9,,851712
0400000US27,Minnesota,5450868,348856,719515,212584,506931,9.3,6.7,7,,779474,2710157,178870,368581,108406,9.5,6.9,7.1,,346900,2740711,169924,350811,104147,9.1,6.5,6.8,,430292
0400000US28,Mississippi,2989192,191308,415498,122557,307887,10.3,6.6,6.5,,427454,1450269,97168,211739,62362,10.7,6.7,6.5,,184184,1538923,95413,203138,61557,9.8,6.4,6.4,,243150
0400000US29,Missouri,6059651,375698,781695,236326,593846,9.8,6.6,6.6,,927127,2973317,190292,401398,121906,10.1,6.8,6.7,,407344,3086334,182094,382705,117281,9.4,6.5,6.5,,521590
0400000US30,Montana,1023391,61403,126900,36842,100292,9.8,6.2,6.3,,170906,514191,31366,64788,19539,10.1,6.4,6.5,,81242,509200,29534,62122,17822,9.4,6.1,6.2,,89619
