GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_023E,S0101_C01_007E,S0101_C01_008E,S0101_C01_030E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_023E,S0101_C03_007E,S0101_C03_008E,,S0101_C03_030E,S0101_C05_001E,S0101_C05_002E,S0101_C05_020E,S0101_C05_021E,S0101_C05_023E,S0101_C05_007E,S0101_C05_008E,,S0101_C05_030E
Geography,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Male!!Total population,Estimate!!Male!!Total population!!AGE!!Under 5 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Male!!Total population!!AGE!!25 to 29 years,Estimate!!Male!!Total population!!AGE!!30 to 34 years,,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Female!!Total population,Estimate!!Female!!Total population!!AGE!!Under 5 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Female!!Total population!!AGE!!25 to 29 years,Estimate!!Female!!Total population!!AGE!!30 to 34 years,,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
0100000US,United States,322903030,19836850,41128913,12587477,30903719,22779537,21788439,49238581,158984190,10146960,21001868,6436745,15846667,11579090,10971402,,21781300,163918840,9689890,20127045,6150732,15057052,11200447,10817037,,27457281
0400000US01,Alabama,4864680,292125,614267,192401,465929,328222,304438,783832,2355799,149151,313155,98202,234833,162663,148737,,340401,2508881,142974,301112,94199,231096,165559,155701,,443431
0400000US02,Alaska,738516,54240,102349,29549,74651,61850,56669,78428,385579,27605,52711,15376,42406,32871,29750,,38937,352937,26635,49638,14173,32245,28979,26919,,39491
0400000US04,Arizona,6946685,436102,920099,277582,678970,488359,457452,1158320,3453439,222981,468556,141556,352119,253812,235745,,533914,3493246,213121,451543,136026,326851,234547,221707,,624406
0400000US05,Arkansas,2990671,190311,395579,120053,285421,200238,189181,487536,1468412,97632,202023,61628,146093,99732,94689,,216404,1522259,92679,193556,58425,139328,100506,94492,,271132
0400000US06,California,39148760,2480679,5055988,1536988,3856220,3042664,2861348,5315457,19453769,1268862,2581533,785629,1987280,1571925,1467111,,2357611,19694991,1211817,2474455,751359,1868940,1470739,1394237,,2957846
0400000US08,Colorado,5531141,335199,714733,209887,522730,426632,422525,740638,2780831,171155,366210,107404,273523,221913,219400,,337916,2750310,164044,348523,102483,249207,204719,203125,,402722
0400000US09,Connecticut,3581504,184983,425141,142501,350171,219979,219869,587580,1747131,94768,217085,73109,180327,113032,109545,,254027,1834373,90215,208056,69392,169844,106947,110324,,333553
0400000US10,Delaware,949495,54854,113842,34730,86090,66103,60255,167129,459570,27813,57575,17767,43538,33137,30102,,74446,489925,27041,56267,16963,42552,32966,30153,,92683
0400000US11,District of Columbia,684498,44692,61291,15754,75780,82413,77303,81712,324881,22724,30828,7924,34625,37850,36999,,33378,359617,21968,30463,7830,41155,44563,40304,,48334
0400000US12,Florida,20598139,1117420,2308718,722414,1762860,1373946,1292002,4064376,10071925,570515,1178834,369269,905463,699552,650704,,1831450,10526214,546905,1129884,353145,857397,674394,641298,,2232926
0400000US13,Georgia,10297484,655810,1415275,430210,1009642,727688,692096,1352289,5012229,335188,720909,218482,516016,362366,338616,,587115,5285255,320622,694366,211728,493626,365322,353480,,765174
0400000US15,Hawaii,1422029,90388,168781,47332,127161,104787,100348,245955,713772,46487,86736,24119,69763,55520,51456,,111178,708257,43901,82045,23213,57398,49267,48892,,134777
0400000US16,Idaho,1687809,114164,250361,74651,159367,111480,108726,253801,845564,57945,127809,38489,82819,56883,54666,,119895,842245,56219,122552,36162,76548,54597,54060,,133906
0400000US17,Illinois,12821497,776957,1639302,510302,1212593,897796,881505,1894903,6295915,397436,835697,260062,617459,454479,443198,,821647,6525582,379521,803605,250240,595134,443317,438307,,1073256
0400000US18,Indiana,6637426,418299,883260,272734,663318,437569,419363,996063,3271068,214555,451887,139211,340463,220237,209798,,436467,3366358,203744,431373,133523,322855,217332,209565,,559596
0400000US19,Iowa,3132499,197430,410184,122418,321094,195816,197717,513312,1554481,100506,209753,62435,165297,99723,101108,,227340,1578018,96924,200431,59983,155797,96093,96609,,285972
0400000US20,Kansas,2908776,194202,402193,119150,298556,192312,190908,437777,1449413,99309,205578,61169,156850,99768,96800,,195027,1459363,94893,196615,57981,141706,92544,94108,,242750
0400000US21,Kentucky,4440204,274440,564733,172846,424181,295823,278812,691509,2186715,141232,289239,88746,219031,149271,140310,,304481,2253489,133208,275494,84100,205150,146552,138502,,387028
0400000US22,Louisiana,4663616,309339,615510,183625,447201,343096,326796,676707,2279968,157355,313984,93518,228263,171475,162487,,295906,2383648,151984,301526,90107,218938,171621,164309,,380801
0400000US23,Maine,1332813,64437,143379,46845,110255,78617,77229,259176,652299,33208,73494,23992,56547,39578,38216,,117451,680514,31229,69885,22853,53708,39039,39013,,141725
0400000US24,Maryland,6003435,366174,748555,229448,544400,416763,411308,875337,2910323,186840,382128,116895,277390,209055,201992,,377866,3093112,179334,366427,112553,267010,207708,209316,,497471
