GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_023E,S0101_C01_007E,S0101_C01_008E,S0101_C01_030E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_023E,S0101_C03_007E,S0101_C03_008E,S0101_C03_030E,S0101_C05_001E,S0101_C05_002E,S0101_C05_020E,S0101_C05_021E,S0101_C05_023E,S0101_C05_007E,S0101_C05_008E,S0101_C05_030E
Geography,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Male!!Total population,Estimate!!Male!!Total population!!AGE!!Under 5 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Male!!Total population!!AGE!!25 to 29 years,Estimate!!Male!!Total population!!AGE!!30 to 34 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Female!!Total population,Estimate!!Female!!Total population!!AGE!!Under 5 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Female!!Total population!!AGE!!25 to 29 years,Estimate!!Female!!Total population!!AGE!!30 to 34 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
0100000US,United States,326569308,19650192,41086949,12559597,30435736,23262155,22223010,52362817,160818530,10051876,20988855,6416023,15581223,11850355,11224653,23264263,165750778,9598316,20098094,6143574,14854513,11411800,10998357,29098554
0400000US01,Alabama,4893186,293932,609980,189000,456268,334650,307217,827434,2365734,149579,311224,96832,229124,167179,149890,360208,2527452,144353,298756,92168,227144,167471,157327,467226
0400000US02,Alaska,736990,52302,102220,28837,70195,61328,57278,87629,384653,26684,52619,14990,39978,32803,29948,43453,352337,25618,49601,13847,30217,28525,27330,44176
0400000US04,Arizona,7174064,431224,927468,280953,688363,513314,473473,1262204,3564979,220346,472589,143488,356182,266718,244743,581355,3609085,210878,454879,137465,332181,246596,228730,680849
0400000US05,Arkansas,3011873,188445,394622,119765,282319,203558,191234,510117,1478511,96802,201981,60923,144817,102338,95817,226555,1533362,91643,192641,58842,137502,101220,95417,283562
0400000US06,California,39346023,2409082,5029090,1518469,3724239,3084036,2923877,5644497,19562882,1233088,2570767,774841,1914100,1594429,1505530,2511445,19783141,1175994,2458323,743628,1810139,1489607,1418347,3133052
0400000US08,Colorado,5684926,330939,712708,215384,525141,449799,442474,808337,2862153,168650,364837,110519,274374,235076,231592,369867,2822773,162289,347871,104865,250767,214723,210882,438470
0400000US09,Connecticut,3570549,182708,413969,138907,345760,222305,221612,615466,1741688,93725,210811,71199,177421,114689,110988,268211,1828861,88983,203158,67708,168339,107616,110624,347255
0400000US10,Delaware,967679,54774,114410,35023,83602,66200,62526,182024,467720,27809,57871,17720,42224,33274,31190,81201,499959,26965,56539,17303,41378,32926,31336,100823
