"GEO_ID","NAME","B01001I_001E","B01001I_001M","B01001I_002E","B01001I_002M","B01001I_003E","B01001I_003M","B01001I_004E","B01001I_004M","B01001I_005E","B01001I_005M","B01001I_006E","B01001I_006M","B01001I_007E","B01001I_007M","B01001I_008E","B01001I_008M","B01001I_009E","B01001I_009M","B01001I_010E","B01001I_010M","B01001I_011E","B01001I_011M","B01001I_012E","B01001I_012M","B01001I_013E","B01001I_013M","B01001I_014E","B01001I_014M","B01001I_015E","B01001I_015M","B01001I_016E","B01001I_016M","B01001I_017E","B01001I_017M","B01001I_018E","B01001I_018M","B01001I_019E","B01001I_019M","B01001I_020E","B01001I_020M","B01001I_021E","B01001I_021M","B01001I_022E","B01001I_022M","B01001I_023E","B01001I_023M","B01001I_024E","B01001I_024M","B01001I_025E","B01001I_025M","B01001I_026E","B01001I_026M","B01001I_027E","B01001I_027M","B01001I_028E","B01001I_028M","B01001I_029E","B01001I_029M","B01001I_030E","B01001I_030M","B01001I_031E","B01001I_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","54232205","2036","27444307","3423","2615076","1954","2580723","8420","2449706","8198","1409167","1698","965675","2079","2437024","2837","2317480","2135","2273643","2646","4017479","3182","3079652","2919","1860633","1634","903752","1535","409825","2570","124472","2275","26787898","3053","2515812","1878","2495285","8354","2346657","8359","1345037","1694","904018","2068","2215726","2708","2074173","1830","2081820","1977","3843528","2616","3041005","2078","2007975","1423","1102463","1386","585480","2999","228919","2779",
"0400000US01","Alabama","193492","582","105019","816","12884","476","12064","600","8430","664","4270","360","3463","442","8877","453","11366","558","10628","543","16386","568","8881","493","4879","358","1851","260","897","189","143","65","88473","781","11169","446","12143","765","8390","565","4015","368","2893","321","6831","460","8027","390","8005","324","12455","513","7219","449","3681","236","2150","295","1125","211","370","115",
"0400000US02","Alaska","47808","108","25205","145","2853","69","2501","208","2153","208","1154","81","1203","184","3180","209","2667","115","2181","222","2961","215","2193","147","1362","91","549","101","236","62","12","16","22603","169","2679","101","2472","215","1857","219","1163","71","827","73","2042","72","2143","108","1925","54","2959","123","2044","120","1483","104","683","89","287","74","39","29",
"0400000US04","Arizona","2014711","*****","1012330","*****","97228","*****","102271","1999","99967","1997","57476","*****","39157","301","94644","311","81163","182","78256","*****","136953","62","106580","61","66245","*****","33514","58","14497","462","4379","455","1002381","*****","92661","*****","98426","1562","97161","1563","55373","*****","36756","230","87864","222","74674","50","74172","*****","138535","86","108185","88","72268","*****","39702","64","19382","469","7222","478",
"0400000US05","Arkansas","203226","172","107023","530","11918","324","12908","627","10546","627","5711","286","4070","303","9171","352","9548","358","9800","394","15680","483","9784","361","4746","277","2366","352","624","160","151","91","96203","530","11726","347","11821","628","10699","619","5113","265","3190","248","8007","363","7815","337","8038","356","13631","415","8712","377","4518","281","1956","271","803","194","174","107",
"0400000US06","California","14750686","*****","7429243","409","677115","169","674943","4388","663428","4370","401426","160","271156","304","683863","434","627931","369","594189","270","1071166","319","862773","297","516136","102","238282","222","110356","1125","36479","1086","7321443","409","651905","154","653118","3943","637794","3968","386444","137","258046","163","636905","250","573401","163","556705","202","1044430","278","850470","303","558363","198","293817","215","155488","1476","64557","1485",
"0400000US08","Colorado","1112586","293","566351","430","55571","222","57374","1186","54722","1196","29496","188","19747","303","48733","448","46618","458","46706","436","81413","501","58945","378","37818","225","18795","149","8160","289","2253","284","546235","415","52282","250","54869","1122","53317","1168","28268","225","18580","321","45073","424","42404","257","42501","363","76160","378","57690","301","39446","215","21176","165","10588","330","3881","289",
"0400000US09","Connecticut","526508","*****","263207","62","24063","*****","24640","670","23384","668","14201","64","10090","186","25062","228","22567","154","22200","120","38594","166","29944","125","16959","61","7635","103","2958","199","910","172","263301","61","23509","*****","23650","673","22498","673","13302","61","9049","138","22243","140","20972","*****","21917","*****","39242","*****","32046","*****","18951","48","9859","101","4603","242","1460","220",
"0400000US10","Delaware","80706","*****","41537","*****","4444","*****","4052","318","4297","319","1941","*****","1389","64","3776","64","3879","*****","3868","*****","6326","*****","3937","*****","2165","*****","907","46","434","58","122","57","39169","*****","4288","*****","4538","313","3628","314","1936","*****","1388","*****","3351","*****","3354","*****","3431","*****","5747","*****","3686","*****","2054","*****","1048","76","411","100","309","123",
