"GEO_ID","NAME","B01001E_001E","B01001E_001M","B01001E_002E","B01001E_002M","B01001E_003E","B01001E_003M","B01001E_004E","B01001E_004M","B01001E_005E","B01001E_005M","B01001E_006E","B01001E_006M","B01001E_007E","B01001E_007M","B01001E_008E","B01001E_008M","B01001E_009E","B01001E_009M","B01001E_010E","B01001E_010M","B01001E_011E","B01001E_011M","B01001E_012E","B01001E_012M","B01001E_013E","B01001E_013M","B01001E_014E","B01001E_014M","B01001E_015E","B01001E_015M","B01001E_016E","B01001E_016M","B01001E_017E","B01001E_017M","B01001E_018E","B01001E_018M","B01001E_019E","B01001E_019M","B01001E_020E","B01001E_020M","B01001E_021E","B01001E_021M","B01001E_022E","B01001E_022M","B01001E_023E","B01001E_023M","B01001E_024E","B01001E_024M","B01001E_025E","B01001E_025M","B01001E_026E","B01001E_026M","B01001E_027E","B01001E_027M","B01001E_028E","B01001E_028M","B01001E_029E","B01001E_029M","B01001E_030E","B01001E_030M","B01001E_031E","B01001E_031M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"0100000US","United States","615557","5991","310658","3663","21510","1063","21927","1002","21561","1016","13946","720","9936","825","25965","1055","27900","896","26089","1031","47332","1377","35708","1118","31387","978","18187","660","6965","476","2245","348","304899","3655","19918","877","19953","941","21906","1034","13109","665","9437","714","22717","983","26189","1197","25283","1075","43397","1181","36887","1159","32215","956","21691","916","9405","583","2792","344",
"0400000US01","Alabama","1702","377","630","161","64","40","63","44","65","66","22","21","31","35","94","62","29","38","60","54","40","41","81","57","34","37","12","13","35","32","0","30","1072","295","70","59","131","89","70","76","48","42","40","65","44","51","95","65","68","55","101","59","69","49","101","93","30","37","186","146","19","29",
"0400000US02","Alaska","10766","428","5666","269","701","110","662","196","446","204","300","144","208","103","460","138","545","107","493","78","608","214","746","201","241","95","147","100","109","117","0","23","5100","377","671","134","458","216","522","205","219","130","331","112","234","126","460","46","304","79","605","203","694","181","156","80","408","120","27","31","11","20",
"0400000US04","Arizona","13979","705","7738","522","605","169","440","205","378","118","339","72","124","68","648","125","890","216","1041","166","1468","261","885","140","543","149","271","90","62","50","44","39","6241","389","479","101","424","138","279","92","189","85","263","154","456","141","744","197","656","137","699","162","788","120","555","97","550","143","115","68","44","27",
"0400000US05","Arkansas","10627","594","5673","377","537","116","614","196","568","149","184","121","160","99","543","143","415","150","425","113","1151","268","617","188","266","134","54","46","84","87","55","75","4954","398","458","71","501","152","490","155","490","151","137","84","386","142","523","156","310","153","815","228","407","148","261","120","135","126","39","57","2","5",
"0400000US06","California","148278","2645","73336","1659","4192","525","4475","399","4387","458","3042","391","1940","274","5721","552","5641","483","6259","465","11041","701","9303","519","9835","405","4980","393","1920","297","600","177","74942","1555","4069","425","4362","502","4449","481","2627","314","1731","262","5105","461","6141","408","6324","354","11376","543","10016","430","9805","412","5423","351","2888","330","626","185",
"0400000US08","Colorado","8192","695","4084","439","135","50","182","86","308","137","151","86","178","81","431","147","327","132","232","145","637","171","612","208","573","208","106","85","114","80","98","65","4108","448","282","144","40","31","414","150","226","142","172","91","173","68","386","142","270","124","641","197","470","154","423","137","304","101","301","107","6","11",
"0400000US09","Connecticut","1262","356","605","197","44","57","0","31","20","31","55","56","0","31","4","12","135","119","33","45","113","73","88","80","70","77","43","61","0","31","0","31","657","231","0","31","29","39","44","44","89","66","0","31","0","31","165","126","89","83","64","42","81","73","72","113","24","32","0","31","0","31",
"0400000US10","Delaware","383","121","192","91","0","30","0","30","6","10","0","30","30","51","16","26","23","31","19","30","17","22","25","36","56","64","0","30","0","30","0","30","191","106","0","30","0","30","26","43","0","30","14","19","26","30","5","8","13","21","22","32","0","30","26","26","23","25","36","51","0","30",
