"GEO_ID","NAME","B01001H_001E","B01001H_001M","B01001H_002E","B01001H_002M","B01001H_003E","B01001H_003M","B01001H_004E","B01001H_004M","B01001H_005E","B01001H_005M","B01001H_006E","B01001H_006M","B01001H_007E","B01001H_007M","B01001H_008E","B01001H_008M","B01001H_009E","B01001H_009M","B01001H_010E","B01001H_010M","B01001H_011E","B01001H_011M","B01001H_012E","B01001H_012M","B01001H_013E","B01001H_013M","B01001H_014E","B01001H_014M","B01001H_015E","B01001H_015M","B01001H_016E","B01001H_016M","B01001H_017E","B01001H_017M","B01001H_018E","B01001H_018M","B01001H_019E","B01001H_019M","B01001H_020E","B01001H_020M","B01001H_021E","B01001H_021M","B01001H_022E","B01001H_022M","B01001H_023E","B01001H_023M","B01001H_024E","B01001H_024M","B01001H_025E","B01001H_025M","B01001H_026E","B01001H_026M","B01001H_027E","B01001H_027M","B01001H_028E","B01001H_028M","B01001H_029E","B01001H_029M","B01001H_030E","B01001H_030M","B01001H_031E","B01001H_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","197181177","8728","97208135","5439","5037033","1583","5203025","11740","5516890","11594","3449201","1235","2364244","1813","6218174","2218","6428901","1539","6219779","1360","11736514","1663","13611624","1462","14338529","1012","10314160","871","4999471","7245","1770590","7167","99973042","5235","4777295","1554","4962153","11910","5220611","11730","3268689","1308","2250513","2317","5870440","2805","6210212","1378","6090955","1488","11584857","1581","13715431","1500","15027876","1217","11386961","946","6332973","8519","3274076","8486",
"0400000US01","Alabama","3196730","847","1562921","476","84618","204","87921","1393","94548","1412","59518","113","38294","265","102428","285","100556","212","93417","217","189699","202","219672","117","221904","71","166342","130","81329","798","22675","785","1633809","611","80352","255","83603","1449","90339","1506","57066","114","38525","496","96841","482","101018","137","94909","208","192069","168","222374","186","234932","86","188875","113","108502","1066","44404","1065",
"0400000US02","Alaska","450754","457","239618","410","13760","82","12864","451","13062","470","7718","121","4829","94","17742","144","19242","98","18888","133","31297","158","33412","193","36594","184","21510","87","6895","256","1805","253","211136","358","12928","80","12930","527","11271","527","7169","76","3867","84","12684","133","16358","161","16461","190","27335","137","29200","102","32580","105","18531","79","6774","262","3048","263",
"0400000US04","Arizona","3825886","1181","1891618","694","85628","201","89368","1682","95841","1613","58911","111","40827","149","108951","169","118296","152","114356","130","218872","181","249818","116","276065","144","252312","132","140198","1188","42175","1181","1934268","649","81307","150","86179","1832","90615","1816","56094","103","39161","545","99727","522","111069","204","108287","55","211224","213","249947","221","303294","152","279637","135","152966","1543","64761","1540",
"0400000US05","Arkansas","2173849","793","1067818","434","60788","212","63425","1267","65366","1262","40477","162","26456","330","69580","321","68815","151","66104","120","130519","126","142905","131","144961","135","113296","63","58026","619","17100","616","1106031","519","57201","216","60764","1389","61167","1392","38345","170","24720","310","67262","344","68666","156","65816","140","129647","208","144639","98","154694","61","127846","54","72637","955","32627","961",
"0400000US06","California","14695836","3121","7344629","1698","327708","520","321235","2970","340159","2915","214351","345","150682","276","436076","489","521861","480","507881","389","903097","531","1065000","469","1159007","367","831350","280","405241","2052","160981","2034","7351207","1936","311556","461","304226","2724","322015","2809","203015","283","139920","315","391164","741","480722","487","467940","381","840421","508","1031159","461","1173490","454","907026","326","498451","2878","280102","2886",
"0400000US08","Colorado","3778212","1322","1893977","751","96194","169","101150","1486","104800","1460","62361","153","45087","358","122383","383","145225","196","145025","213","257017","295","260386","320","270547","139","182684","125","75710","859","25408","864","1884235","763","91620","203","95836","1532","98327","1496","58731","196","41065","331","109600","390","134598","157","134999","163","243002","169","258551","177","282903","151","196249","128","92495","1116","46259","1119",
"0400000US09","Connecticut","2418696","1034","1178488","611","49919","174","55606","1161","66490","1191","44249","106","32875","91","76701","129","65159","154","64716","150","127992","150","183024","203","194647","169","127964","56","62229","873","26917","872","1240208","545","47144","115","52453","1202","63192","1165","41725","98","31977","121","71612","153","60619","154","64431","119","131180","153","191019","172","204045","147","143675","60","83249","967","53887","969",
"0400000US10","Delaware","595623","324","288379","164","13612","54","13595","573","15062","575","9411","27","6847","33","16591","31","19628","32","17305","50","30920","59","40154","27","44846","28","36979","56","17447","394","5982","397","307244","217","13140","54","12939","510","14494","539","8985","10","7024","32","16017","46","19299","65","17282","27","32445","34","42180","62","49893","91","41856","52","22002","555","9688","560",
